
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
713.97,,Surface,6,Image 1,1,0,
850.244,,Surface,6,Image 1,1,1,
123.534,,Surface,6,Image 1,1,2,
1487.44,,Surface,6,Image 1,1,3,
337.71,,Surface,6,Image 1,1,4,
2134.01,,Surface,6,Image 1,1,5,
730.933,,Surface,6,Image 1,1,6,
572.46,,Surface,6,Image 1,1,7,
126.316,,Surface,6,Image 1,1,8,
589.924,,Surface,6,Image 1,1,9,
196.951,,Surface,6,Image 1,1,10,
1163.56,,Surface,6,Image 1,1,11,
852.276,,Surface,6,Image 1,1,12,
594.692,,Surface,6,Image 1,1,13,
995.777,,Surface,6,Image 1,1,14,
858.546,,Surface,6,Image 1,1,15,
267.065,,Surface,6,Image 1,1,16,
4251.59,,Surface,6,Image 1,1,17,
1258.15,,Surface,6,Image 1,1,18,
599.218,,Surface,6,Image 1,1,19,
