
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.118838,,Surface,1,0,
0.0779486,,Surface,1,1,
0.0340828,,Surface,1,2,
0.0824649,,Surface,1,3,
0.131862,,Surface,1,4,
0.125413,,Surface,1,5,
0.0807501,,Surface,1,6,
0.291035,,Surface,1,7,
0.119692,,Surface,1,8,
0.143703,,Surface,1,9,
0.100571,,Surface,1,10,
0.0742184,,Surface,1,11,
0.22638,,Surface,1,12,
0.245132,,Surface,1,13,
0.14673,,Surface,1,14,
0.110028,,Surface,1,15,
0.098358,,Surface,1,16,
0.329637,,Surface,1,17,
