
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
3.03751,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
34.0641,um,Surface,Image 1,1,2,
79.8034,um,Surface,Image 1,1,3,
0.858307,um,Surface,Image 1,1,4,
57.6175,um,Surface,Image 1,1,5,
34.9613,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
61.7859,um,Surface,Image 1,1,8,
78.2066,um,Surface,Image 1,1,9,
151.379,um,Surface,Image 1,1,10,
24.9864,um,Surface,Image 1,1,11,
58.3068,um,Surface,Image 1,1,12,
0.837025,um,Surface,Image 1,1,13,
12.6823,um,Surface,Image 1,1,14,
4.73283,um,Surface,Image 1,1,15,
40.352,um,Surface,Image 1,1,16,
8.87165,um,Surface,Image 1,1,17,
