
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1037,,Surface,3,Image 1,1,0,
206,,Surface,3,Image 1,1,1,
122,,Surface,3,Image 1,1,2,
724,,Surface,3,Image 1,1,3,
264,,Surface,3,Image 1,1,4,
100,,Surface,3,Image 1,1,5,
1065,,Surface,3,Image 1,1,6,
147,,Surface,3,Image 1,1,7,
325,,Surface,3,Image 1,1,8,
1087,,Surface,3,Image 1,1,9,
373,,Surface,3,Image 1,1,10,
95,,Surface,3,Image 1,1,11,
1370,,Surface,3,Image 1,1,12,
153,,Surface,3,Image 1,1,13,
217,,Surface,3,Image 1,1,14,
893,,Surface,3,Image 1,1,15,
147,,Surface,3,Image 1,1,16,
329,,Surface,3,Image 1,1,17,
