
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
465.814,um,Surface,Distance from Origin,1,0,
372.947,um,Surface,Distance from Origin,1,1,
338.91,um,Surface,Distance from Origin,1,2,
340.382,um,Surface,Distance from Origin,1,3,
342.597,um,Surface,Distance from Origin,1,4,
300.262,um,Surface,Distance from Origin,1,5,
315.778,um,Surface,Distance from Origin,1,6,
350.108,um,Surface,Distance from Origin,1,7,
304.548,um,Surface,Distance from Origin,1,8,
260.657,um,Surface,Distance from Origin,1,9,
267.03,um,Surface,Distance from Origin,1,10,
191.691,um,Surface,Distance from Origin,1,11,
160.555,um,Surface,Distance from Origin,1,12,
112.855,um,Surface,Distance from Origin,1,13,
