
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
300.388,,Surface,6,Image 1,1,0,
2.55721,,Surface,6,Image 1,1,1,
242.81,,Surface,6,Image 1,1,2,
157.859,,Surface,6,Image 1,1,3,
637.016,,Surface,6,Image 1,1,4,
192.977,,Surface,6,Image 1,1,5,
176.615,,Surface,6,Image 1,1,6,
721.991,,Surface,6,Image 1,1,7,
112.364,,Surface,6,Image 1,1,8,
792.799,,Surface,6,Image 1,1,9,
372.568,,Surface,6,Image 1,1,10,
406.529,,Surface,6,Image 1,1,11,
531.48,,Surface,6,Image 1,1,12,
464.38,,Surface,6,Image 1,1,13,
1.44826,,Surface,6,Image 1,1,14,
377.135,,Surface,6,Image 1,1,15,
221.17,,Surface,6,Image 1,1,16,
699.963,,Surface,6,Image 1,1,17,
613.233,,Surface,6,Image 1,1,18,
519.797,,Surface,6,Image 1,1,19,
