
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
403.196,um,Surface,Distance from Origin,1,0,
370.618,um,Surface,Distance from Origin,1,1,
378.528,um,Surface,Distance from Origin,1,2,
367.192,um,Surface,Distance from Origin,1,3,
380.636,um,Surface,Distance from Origin,1,4,
317.444,um,Surface,Distance from Origin,1,5,
345.353,um,Surface,Distance from Origin,1,6,
320.293,um,Surface,Distance from Origin,1,7,
332.739,um,Surface,Distance from Origin,1,8,
283.421,um,Surface,Distance from Origin,1,9,
294.594,um,Surface,Distance from Origin,1,10,
265.817,um,Surface,Distance from Origin,1,11,
313.976,um,Surface,Distance from Origin,1,12,
245.628,um,Surface,Distance from Origin,1,13,
261.455,um,Surface,Distance from Origin,1,14,
274.704,um,Surface,Distance from Origin,1,15,
217.511,um,Surface,Distance from Origin,1,16,
171.627,um,Surface,Distance from Origin,1,17,
168.909,um,Surface,Distance from Origin,1,18,
34.3746,um,Surface,Distance from Origin,1,19,
