
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.775971,,Surface,1,0,
0.788067,,Surface,1,1,
0.310159,,Surface,1,2,
0.493013,,Surface,1,3,
0.408335,,Surface,1,4,
0.278611,,Surface,1,5,
0.539395,,Surface,1,6,
0.810474,,Surface,1,7,
0.335292,,Surface,1,8,
0.754559,,Surface,1,9,
0.506862,,Surface,1,10,
0.794681,,Surface,1,11,
0.261093,,Surface,1,12,
0.877016,,Surface,1,13,
0.842989,,Surface,1,14,
0.312292,,Surface,1,15,
0.546392,,Surface,1,16,
0.723981,,Surface,1,17,
0.785741,,Surface,1,18,
0.575933,,Surface,1,19,
