
Intensity Sum Ch=9 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.46945e+06,,Surface,9,Image 1,1,0,
1.75663e+07,,Surface,9,Image 1,1,1,
0,,Surface,9,Image 1,1,2,
3.48783e+06,,Surface,9,Image 1,1,3,
2.40757e+08,,Surface,9,Image 1,1,4,
6.90748e+06,,Surface,9,Image 1,1,5,
0,,Surface,9,Image 1,1,6,
2.87943e+06,,Surface,9,Image 1,1,7,
0,,Surface,9,Image 1,1,8,
6.86785e+07,,Surface,9,Image 1,1,9,
0,,Surface,9,Image 1,1,10,
0,,Surface,9,Image 1,1,11,
1.70799e+07,,Surface,9,Image 1,1,12,
1.77114e+06,,Surface,9,Image 1,1,13,
0,,Surface,9,Image 1,1,14,
4.50047e+07,,Surface,9,Image 1,1,15,
0,,Surface,9,Image 1,1,16,
3.15071e+06,,Surface,9,Image 1,1,17,
3.05737e+06,,Surface,9,Image 1,1,18,
1.17019e+07,,Surface,9,Image 1,1,19,
