
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
292,,Surface,3,Image 1,1,0,
646,,Surface,3,Image 1,1,1,
719,,Surface,3,Image 1,1,2,
463,,Surface,3,Image 1,1,3,
218,,Surface,3,Image 1,1,4,
288,,Surface,3,Image 1,1,5,
508,,Surface,3,Image 1,1,6,
346,,Surface,3,Image 1,1,7,
555,,Surface,3,Image 1,1,8,
505,,Surface,3,Image 1,1,9,
601,,Surface,3,Image 1,1,10,
537,,Surface,3,Image 1,1,11,
119,,Surface,3,Image 1,1,12,
124,,Surface,3,Image 1,1,13,
582,,Surface,3,Image 1,1,14,
410,,Surface,3,Image 1,1,15,
366,,Surface,3,Image 1,1,16,
139,,Surface,3,Image 1,1,17,
381,,Surface,3,Image 1,1,18,
355,,Surface,3,Image 1,1,19,
