
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3330.43,,Surface,1,Image 1,1,0,
3962.84,,Surface,1,Image 1,1,1,
5149.29,,Surface,1,Image 1,1,2,
2717.34,,Surface,1,Image 1,1,3,
3063.95,,Surface,1,Image 1,1,4,
3539.21,,Surface,1,Image 1,1,5,
3703.17,,Surface,1,Image 1,1,6,
4596.34,,Surface,1,Image 1,1,7,
1453.04,,Surface,1,Image 1,1,8,
5915.62,,Surface,1,Image 1,1,9,
2251.86,,Surface,1,Image 1,1,10,
2642.21,,Surface,1,Image 1,1,11,
2710.75,,Surface,1,Image 1,1,12,
3224.64,,Surface,1,Image 1,1,13,
3291.77,,Surface,1,Image 1,1,14,
3020.86,,Surface,1,Image 1,1,15,
2417.51,,Surface,1,Image 1,1,16,
3842.75,,Surface,1,Image 1,1,17,
3729.46,,Surface,1,Image 1,1,18,
2174.73,,Surface,1,Image 1,1,19,
