
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
752.799,,Surface,6,Image 1,1,0,
78.215,,Surface,6,Image 1,1,1,
705.024,,Surface,6,Image 1,1,2,
599.928,,Surface,6,Image 1,1,3,
1267.66,,Surface,6,Image 1,1,4,
638.675,,Surface,6,Image 1,1,5,
523.099,,Surface,6,Image 1,1,6,
1083.91,,Surface,6,Image 1,1,7,
434.806,,Surface,6,Image 1,1,8,
2857.02,,Surface,6,Image 1,1,9,
793.814,,Surface,6,Image 1,1,10,
805.012,,Surface,6,Image 1,1,11,
982.783,,Surface,6,Image 1,1,12,
779.723,,Surface,6,Image 1,1,13,
59.2715,,Surface,6,Image 1,1,14,
912.298,,Surface,6,Image 1,1,15,
642.389,,Surface,6,Image 1,1,16,
1040.2,,Surface,6,Image 1,1,17,
949.557,,Surface,6,Image 1,1,18,
852.084,,Surface,6,Image 1,1,19,
