
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
845,,Surface,4,Image 1,1,0,
694,,Surface,4,Image 1,1,1,
572,,Surface,4,Image 1,1,2,
518,,Surface,4,Image 1,1,3,
588,,Surface,4,Image 1,1,4,
523,,Surface,4,Image 1,1,5,
772,,Surface,4,Image 1,1,6,
496,,Surface,4,Image 1,1,7,
746,,Surface,4,Image 1,1,8,
595,,Surface,4,Image 1,1,9,
741,,Surface,4,Image 1,1,10,
544,,Surface,4,Image 1,1,11,
721,,Surface,4,Image 1,1,12,
777,,Surface,4,Image 1,1,13,
410,,Surface,4,Image 1,1,14,
697,,Surface,4,Image 1,1,15,
