
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
2121.24,,Surface,4,Image 1,1,0,
3255.59,,Surface,4,Image 1,1,1,
6913.75,,Surface,4,Image 1,1,2,
8551.92,,Surface,4,Image 1,1,3,
6739.75,,Surface,4,Image 1,1,4,
8192.54,,Surface,4,Image 1,1,5,
8783.72,,Surface,4,Image 1,1,6,
8218.62,,Surface,4,Image 1,1,7,
2763.39,,Surface,4,Image 1,1,8,
6720.82,,Surface,4,Image 1,1,9,
2370.28,,Surface,4,Image 1,1,10,
6664.82,,Surface,4,Image 1,1,11,
10130.8,,Surface,4,Image 1,1,12,
1945.41,,Surface,4,Image 1,1,13,
11606,,Surface,4,Image 1,1,14,
4347.46,,Surface,4,Image 1,1,15,
