
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
53,,Surface,3,Image 1,1,0,
164,,Surface,3,Image 1,1,1,
471,,Surface,3,Image 1,1,2,
287,,Surface,3,Image 1,1,3,
127,,Surface,3,Image 1,1,4,
289,,Surface,3,Image 1,1,5,
174,,Surface,3,Image 1,1,6,
487,,Surface,3,Image 1,1,7,
89,,Surface,3,Image 1,1,8,
180,,Surface,3,Image 1,1,9,
407,,Surface,3,Image 1,1,10,
114,,Surface,3,Image 1,1,11,
533,,Surface,3,Image 1,1,12,
497,,Surface,3,Image 1,1,13,
337,,Surface,3,Image 1,1,14,
268,,Surface,3,Image 1,1,15,
356,,Surface,3,Image 1,1,16,
72,,Surface,3,Image 1,1,17,
172,,Surface,3,Image 1,1,18,
