
Area
 ==================== 
Area,Unit,Category,Time,ID,
37647.8,um^2,Surface,1,0,
6738.21,um^2,Surface,1,1,
1041.65,um^2,Surface,1,2,
1674.73,um^2,Surface,1,3,
5579.76,um^2,Surface,1,4,
2464.89,um^2,Surface,1,5,
1026.59,um^2,Surface,1,6,
1066.12,um^2,Surface,1,7,
1719.74,um^2,Surface,1,8,
12045.5,um^2,Surface,1,9,
1144.9,um^2,Surface,1,10,
7062.62,um^2,Surface,1,11,
928.884,um^2,Surface,1,12,
1074.9,um^2,Surface,1,13,
990.538,um^2,Surface,1,14,
1913.94,um^2,Surface,1,15,
1188.13,um^2,Surface,1,16,
16217,um^2,Surface,1,17,
4900.86,um^2,Surface,1,18,
