
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
26.0357,um,Surface,Image 1,1,0,
13.0735,um,Surface,Image 1,1,1,
9.97284,um,Surface,Image 1,1,2,
4.89853,um,Surface,Image 1,1,3,
44.9626,um,Surface,Image 1,1,4,
0,um,Surface,Image 1,1,5,
20.0333,um,Surface,Image 1,1,6,
36.0376,um,Surface,Image 1,1,7,
0,um,Surface,Image 1,1,8,
0,um,Surface,Image 1,1,9,
99.7779,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
96.3221,um,Surface,Image 1,1,12,
36.7632,um,Surface,Image 1,1,13,
0.442841,um,Surface,Image 1,1,14,
117.614,um,Surface,Image 1,1,15,
84.4791,um,Surface,Image 1,1,16,
0,um,Surface,Image 1,1,17,
0,um,Surface,Image 1,1,18,
