
Intensity Median Ch=6 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
20.8086,,Surface,6,Image 1,1,0,
2.936,,Surface,6,Image 1,1,1,
0,,Surface,6,Image 1,1,2,
1.861,,Surface,6,Image 1,1,3,
3,,Surface,6,Image 1,1,4,
0,,Surface,6,Image 1,1,5,
652.732,,Surface,6,Image 1,1,6,
0,,Surface,6,Image 1,1,7,
8.912,,Surface,6,Image 1,1,8,
11.552,,Surface,6,Image 1,1,9,
1.718,,Surface,6,Image 1,1,10,
10.472,,Surface,6,Image 1,1,11,
4.862,,Surface,6,Image 1,1,12,
1.165,,Surface,6,Image 1,1,13,
765.504,,Surface,6,Image 1,1,14,
12,,Surface,6,Image 1,1,15,
3.27197,,Surface,6,Image 1,1,16,
6.156,,Surface,6,Image 1,1,17,
8.308,,Surface,6,Image 1,1,18,
