
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
9.88364e+09,,Surface,3,Image 1,1,0,
1.74563e+09,,Surface,3,Image 1,1,1,
9.22195e+07,,Surface,3,Image 1,1,2,
1.49999e+08,,Surface,3,Image 1,1,3,
1.51873e+09,,Surface,3,Image 1,1,4,
7.7463e+08,,Surface,3,Image 1,1,5,
3.11683e+08,,Surface,3,Image 1,1,6,
1.81048e+08,,Surface,3,Image 1,1,7,
4.16935e+08,,Surface,3,Image 1,1,8,
3.16839e+09,,Surface,3,Image 1,1,9,
1.33343e+08,,Surface,3,Image 1,1,10,
1.10017e+09,,Surface,3,Image 1,1,11,
1.56798e+08,,Surface,3,Image 1,1,12,
1.2203e+08,,Surface,3,Image 1,1,13,
3.78433e+08,,Surface,3,Image 1,1,14,
2.25599e+08,,Surface,3,Image 1,1,15,
2.71942e+08,,Surface,3,Image 1,1,16,
4.36707e+09,,Surface,3,Image 1,1,17,
6.32887e+08,,Surface,3,Image 1,1,18,
