
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
9737.34,,Surface,4,Image 1,1,0,
12682.3,,Surface,4,Image 1,1,1,
5488.43,,Surface,4,Image 1,1,2,
5944.76,,Surface,4,Image 1,1,3,
13978.5,,Surface,4,Image 1,1,4,
11729.8,,Surface,4,Image 1,1,5,
11421.8,,Surface,4,Image 1,1,6,
7431.13,,Surface,4,Image 1,1,7,
11552.6,,Surface,4,Image 1,1,8,
10369.4,,Surface,4,Image 1,1,9,
5551.83,,Surface,4,Image 1,1,10,
9422.21,,Surface,4,Image 1,1,11,
5796.64,,Surface,4,Image 1,1,12,
5647.59,,Surface,4,Image 1,1,13,
11966.3,,Surface,4,Image 1,1,14,
5653.26,,Surface,4,Image 1,1,15,
9443,,Surface,4,Image 1,1,16,
11007,,Surface,4,Image 1,1,17,
5860.6,,Surface,4,Image 1,1,18,
