
Intensity StdDev Ch=9 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
215.922,,Surface,9,Image 1,1,0,
475.038,,Surface,9,Image 1,1,1,
1245.37,,Surface,9,Image 1,1,2,
884.596,,Surface,9,Image 1,1,3,
0,,Surface,9,Image 1,1,4,
1283.93,,Surface,9,Image 1,1,5,
604.678,,Surface,9,Image 1,1,6,
3868.74,,Surface,9,Image 1,1,7,
257.741,,Surface,9,Image 1,1,8,
276.606,,Surface,9,Image 1,1,9,
894.462,,Surface,9,Image 1,1,10,
6481.69,,Surface,9,Image 1,1,11,
1008.24,,Surface,9,Image 1,1,12,
0,,Surface,9,Image 1,1,13,
