
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.214269,,Surface,1,0,
0.303768,,Surface,1,1,
0.172505,,Surface,1,2,
0.28267,,Surface,1,3,
0.506879,,Surface,1,4,
0.212601,,Surface,1,5,
0.147266,,Surface,1,6,
0.139963,,Surface,1,7,
0.0364932,,Surface,1,8,
0.0714537,,Surface,1,9,
0.56446,,Surface,1,10,
0.374985,,Surface,1,11,
0.13222,,Surface,1,12,
0.0844975,,Surface,1,13,
0.468555,,Surface,1,14,
0.149112,,Surface,1,15,
0.149879,,Surface,1,16,
0.243528,,Surface,1,17,
0.321906,,Surface,1,18,
0.406911,,Surface,1,19,
0.333878,,Surface,1,20,
0.285071,,Surface,1,21,
0.304842,,Surface,1,22,
0.175665,,Surface,1,23,
0.268214,,Surface,1,24,
0.246855,,Surface,1,25,
0.228163,,Surface,1,26,
0.230849,,Surface,1,27,
0.259215,,Surface,1,28,
0.0427761,,Surface,1,29,
0.172026,,Surface,1,30,
0.265004,,Surface,1,31,
0.673929,,Surface,1,32,
