
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.606172,,Surface,1,0,
0.351904,,Surface,1,1,
0.618511,,Surface,1,2,
0.389974,,Surface,1,3,
0.35373,,Surface,1,4,
0.437692,,Surface,1,5,
0.653572,,Surface,1,6,
0.64422,,Surface,1,7,
0.838605,,Surface,1,8,
0.57005,,Surface,1,9,
0.108315,,Surface,1,10,
0.360528,,Surface,1,11,
0.754349,,Surface,1,12,
0.313022,,Surface,1,13,
0.243383,,Surface,1,14,
0.156605,,Surface,1,15,
0.671003,,Surface,1,16,
0.321341,,Surface,1,17,
0.442497,,Surface,1,18,
0.256166,,Surface,1,19,
0.524192,,Surface,1,20,
0.555347,,Surface,1,21,
0.545361,,Surface,1,22,
0.729619,,Surface,1,23,
0.493698,,Surface,1,24,
0.61988,,Surface,1,25,
0.253765,,Surface,1,26,
0.626982,,Surface,1,27,
0.213116,,Surface,1,28,
0.770274,,Surface,1,29,
0.524249,,Surface,1,30,
0.588624,,Surface,1,31,
0.250037,,Surface,1,32,
