
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.525828,,Surface,1,0,
0.478913,,Surface,1,1,
0.544051,,Surface,1,2,
0.429054,,Surface,1,3,
0.371697,,Surface,1,4,
0.426046,,Surface,1,5,
0.465161,,Surface,1,6,
0.42998,,Surface,1,7,
0.413172,,Surface,1,8,
0.29311,,Surface,1,9,
0.310841,,Surface,1,10,
0.552434,,Surface,1,11,
0.435885,,Surface,1,12,
0.369199,,Surface,1,13,
0.42132,,Surface,1,14,
0.316281,,Surface,1,15,
0.473276,,Surface,1,16,
0.437789,,Surface,1,17,
0.41394,,Surface,1,18,
0.377234,,Surface,1,19,
0.573576,,Surface,1,20,
0.503369,,Surface,1,21,
0.443057,,Surface,1,22,
0.510072,,Surface,1,23,
0.417975,,Surface,1,24,
0.555238,,Surface,1,25,
0.53646,,Surface,1,26,
0.690068,,Surface,1,27,
0.331627,,Surface,1,28,
0.248827,,Surface,1,29,
0.467613,,Surface,1,30,
0.635428,,Surface,1,31,
0.726628,,Surface,1,32,
