
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
781,,Surface,3,Image 1,1,0,
582,,Surface,3,Image 1,1,1,
753,,Surface,3,Image 1,1,2,
212,,Surface,3,Image 1,1,3,
935,,Surface,3,Image 1,1,4,
321,,Surface,3,Image 1,1,5,
761,,Surface,3,Image 1,1,6,
499,,Surface,3,Image 1,1,7,
898,,Surface,3,Image 1,1,8,
406,,Surface,3,Image 1,1,9,
733,,Surface,3,Image 1,1,10,
577,,Surface,3,Image 1,1,11,
632,,Surface,3,Image 1,1,12,
691,,Surface,3,Image 1,1,13,
931,,Surface,3,Image 1,1,14,
614,,Surface,3,Image 1,1,15,
551,,Surface,3,Image 1,1,16,
738,,Surface,3,Image 1,1,17,
904,,Surface,3,Image 1,1,18,
571,,Surface,3,Image 1,1,19,
453,,Surface,3,Image 1,1,20,
479,,Surface,3,Image 1,1,21,
1118,,Surface,3,Image 1,1,22,
723,,Surface,3,Image 1,1,23,
528,,Surface,3,Image 1,1,24,
919,,Surface,3,Image 1,1,25,
670,,Surface,3,Image 1,1,26,
986,,Surface,3,Image 1,1,27,
681,,Surface,3,Image 1,1,28,
427,,Surface,3,Image 1,1,29,
825,,Surface,3,Image 1,1,30,
534,,Surface,3,Image 1,1,31,
37,,Surface,3,Image 1,1,32,
