
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
28.8993,um,Surface,Image 1,1,1,
97.6042,um,Surface,Image 1,1,2,
103.99,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
35.8194,um,Surface,Image 1,1,5,
0,um,Surface,Image 1,1,6,
29.8694,um,Surface,Image 1,1,7,
67.1402,um,Surface,Image 1,1,8,
68.8399,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
98.1044,um,Surface,Image 1,1,11,
11.3007,um,Surface,Image 1,1,12,
0,um,Surface,Image 1,1,13,
