
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
6.30734e+09,,Surface,4,Image 1,1,0,
1.03519e+09,,Surface,4,Image 1,1,1,
7.31496e+08,,Surface,4,Image 1,1,2,
9.43355e+08,,Surface,4,Image 1,1,3,
1.03731e+10,,Surface,4,Image 1,1,4,
5.38132e+09,,Surface,4,Image 1,1,5,
2.1301e+09,,Surface,4,Image 1,1,6,
1.61935e+09,,Surface,4,Image 1,1,7,
2.86294e+09,,Surface,4,Image 1,1,8,
7.87748e+08,,Surface,4,Image 1,1,9,
9.15373e+09,,Surface,4,Image 1,1,10,
1.03645e+10,,Surface,4,Image 1,1,11,
1.48881e+10,,Surface,4,Image 1,1,12,
9.98605e+09,,Surface,4,Image 1,1,13,
