
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.79677e+08,,Surface,3,Image 1,1,0,
2.49133e+08,,Surface,3,Image 1,1,1,
1.00736e+09,,Surface,3,Image 1,1,2,
2.55155e+08,,Surface,3,Image 1,1,3,
4.5397e+08,,Surface,3,Image 1,1,4,
3.32524e+09,,Surface,3,Image 1,1,5,
1.19469e+09,,Surface,3,Image 1,1,6,
2.01865e+08,,Surface,3,Image 1,1,7,
8.05308e+08,,Surface,3,Image 1,1,8,
3.78261e+08,,Surface,3,Image 1,1,9,
1.9325e+09,,Surface,3,Image 1,1,10,
3.71624e+09,,Surface,3,Image 1,1,11,
5.73447e+08,,Surface,3,Image 1,1,12,
5.1739e+09,,Surface,3,Image 1,1,13,
3.08534e+08,,Surface,3,Image 1,1,14,
8.00895e+08,,Surface,3,Image 1,1,15,
9.6468e+08,,Surface,3,Image 1,1,16,
5.25468e+08,,Surface,3,Image 1,1,17,
1.34428e+09,,Surface,3,Image 1,1,18,
5.19027e+08,,Surface,3,Image 1,1,19,
1.61294e+09,,Surface,3,Image 1,1,20,
1.23498e+09,,Surface,3,Image 1,1,21,
4.88752e+08,,Surface,3,Image 1,1,22,
