
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
58.7649,um,Surface,Image 1,1,1,
56.3608,um,Surface,Image 1,1,2,
88.4365,um,Surface,Image 1,1,3,
76.1841,um,Surface,Image 1,1,4,
12.653,um,Surface,Image 1,1,5,
0.431763,um,Surface,Image 1,1,6,
101.225,um,Surface,Image 1,1,7,
30.3987,um,Surface,Image 1,1,8,
88.4993,um,Surface,Image 1,1,9,
128.705,um,Surface,Image 1,1,10,
96.0135,um,Surface,Image 1,1,11,
67.2023,um,Surface,Image 1,1,12,
22.34,um,Surface,Image 1,1,13,
4.2234,um,Surface,Image 1,1,14,
79.9554,um,Surface,Image 1,1,15,
112.568,um,Surface,Image 1,1,16,
52.7136,um,Surface,Image 1,1,17,
0,um,Surface,Image 1,1,18,
77.4084,um,Surface,Image 1,1,19,
31.8462,um,Surface,Image 1,1,20,
0,um,Surface,Image 1,1,21,
7.10342,um,Surface,Image 1,1,22,
