
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
468.232,um,Surface,Distance from Origin,1,0,
394.042,um,Surface,Distance from Origin,1,1,
356.642,um,Surface,Distance from Origin,1,2,
349.587,um,Surface,Distance from Origin,1,3,
336.874,um,Surface,Distance from Origin,1,4,
359.25,um,Surface,Distance from Origin,1,5,
347.306,um,Surface,Distance from Origin,1,6,
286.941,um,Surface,Distance from Origin,1,7,
316.073,um,Surface,Distance from Origin,1,8,
280.368,um,Surface,Distance from Origin,1,9,
274.686,um,Surface,Distance from Origin,1,10,
269.549,um,Surface,Distance from Origin,1,11,
252.863,um,Surface,Distance from Origin,1,12,
306.24,um,Surface,Distance from Origin,1,13,
289.41,um,Surface,Distance from Origin,1,14,
238.438,um,Surface,Distance from Origin,1,15,
225.077,um,Surface,Distance from Origin,1,16,
191.125,um,Surface,Distance from Origin,1,17,
233.834,um,Surface,Distance from Origin,1,18,
151.585,um,Surface,Distance from Origin,1,19,
150.384,um,Surface,Distance from Origin,1,20,
181.261,um,Surface,Distance from Origin,1,21,
76.1988,um,Surface,Distance from Origin,1,22,
