
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.487439,,Surface,1,0,
0.446308,,Surface,1,1,
0.431938,,Surface,1,2,
0.39072,,Surface,1,3,
0.432261,,Surface,1,4,
0.347178,,Surface,1,5,
0.542496,,Surface,1,6,
0.609721,,Surface,1,7,
0.302079,,Surface,1,8,
0.482903,,Surface,1,9,
0.382903,,Surface,1,10,
0.305525,,Surface,1,11,
0.455556,,Surface,1,12,
0.242319,,Surface,1,13,
0.490501,,Surface,1,14,
0.439091,,Surface,1,15,
0.323069,,Surface,1,16,
0.637577,,Surface,1,17,
0.369513,,Surface,1,18,
0.417841,,Surface,1,19,
0.385374,,Surface,1,20,
0.458706,,Surface,1,21,
0.658796,,Surface,1,22,
