
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
425.582,um,Surface,Distance from Origin,1,0,
324.166,um,Surface,Distance from Origin,1,1,
333.894,um,Surface,Distance from Origin,1,2,
311.078,um,Surface,Distance from Origin,1,3,
304.431,um,Surface,Distance from Origin,1,4,
289.449,um,Surface,Distance from Origin,1,5,
269.105,um,Surface,Distance from Origin,1,6,
268.506,um,Surface,Distance from Origin,1,7,
208.499,um,Surface,Distance from Origin,1,8,
190.479,um,Surface,Distance from Origin,1,9,
165.997,um,Surface,Distance from Origin,1,10,
97.8978,um,Surface,Distance from Origin,1,11,
