
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
11966.8,um^3,Surface,1,0,
1868.36,um^3,Surface,1,1,
1020.84,um^3,Surface,1,2,
4884.98,um^3,Surface,1,3,
2835.08,um^3,Surface,1,4,
22036.9,um^3,Surface,1,5,
1441.79,um^3,Surface,1,6,
23318.9,um^3,Surface,1,7,
1830.64,um^3,Surface,1,8,
11994.2,um^3,Surface,1,9,
1418.42,um^3,Surface,1,10,
5704.71,um^3,Surface,1,11,
1352.82,um^3,Surface,1,12,
2139.08,um^3,Surface,1,13,
1248.8,um^3,Surface,1,14,
7200.27,um^3,Surface,1,15,
3551.98,um^3,Surface,1,16,
30299.8,um^3,Surface,1,17,
11414.1,um^3,Surface,1,18,
1406.18,um^3,Surface,1,19,
3209.61,um^3,Surface,1,20,
