
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4290.26,,Surface,1,Image 1,1,0,
4513.51,,Surface,1,Image 1,1,1,
6271.54,,Surface,1,Image 1,1,2,
3627.8,,Surface,1,Image 1,1,3,
5646.73,,Surface,1,Image 1,1,4,
3921.31,,Surface,1,Image 1,1,5,
5009.29,,Surface,1,Image 1,1,6,
4245.97,,Surface,1,Image 1,1,7,
3054.43,,Surface,1,Image 1,1,8,
4430.42,,Surface,1,Image 1,1,9,
6345.34,,Surface,1,Image 1,1,10,
3279.75,,Surface,1,Image 1,1,11,
2573.33,,Surface,1,Image 1,1,12,
3807.09,,Surface,1,Image 1,1,13,
2440.73,,Surface,1,Image 1,1,14,
2185.97,,Surface,1,Image 1,1,15,
5936.21,,Surface,1,Image 1,1,16,
4489.49,,Surface,1,Image 1,1,17,
4402.76,,Surface,1,Image 1,1,18,
5220.92,,Surface,1,Image 1,1,19,
3687.1,,Surface,1,Image 1,1,20,
