
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.9033e+09,,Surface,3,Image 1,1,0,
3.58277e+08,,Surface,3,Image 1,1,1,
2.83556e+08,,Surface,3,Image 1,1,2,
8.70644e+08,,Surface,3,Image 1,1,3,
4.68546e+08,,Surface,3,Image 1,1,4,
4.19188e+09,,Surface,3,Image 1,1,5,
3.45366e+08,,Surface,3,Image 1,1,6,
4.87159e+09,,Surface,3,Image 1,1,7,
5.37835e+08,,Surface,3,Image 1,1,8,
2.68287e+09,,Surface,3,Image 1,1,9,
2.23353e+08,,Surface,3,Image 1,1,10,
1.13583e+09,,Surface,3,Image 1,1,11,
2.91017e+08,,Surface,3,Image 1,1,12,
6.3115e+08,,Surface,3,Image 1,1,13,
3.38922e+08,,Surface,3,Image 1,1,14,
1.5405e+09,,Surface,3,Image 1,1,15,
9.71919e+08,,Surface,3,Image 1,1,16,
6.1532e+09,,Surface,3,Image 1,1,17,
3.13235e+09,,Surface,3,Image 1,1,18,
3.6395e+08,,Surface,3,Image 1,1,19,
7.22114e+08,,Surface,3,Image 1,1,20,
