
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
349.486,306.446,7.46674,um,Surface,Position,1,0,
318.64,265.353,8.95879,um,Surface,Position,1,1,
291.547,328.136,10.3197,um,Surface,Position,1,2,
263.363,246.906,9.40885,um,Surface,Position,1,3,
169.694,337.011,9.23232,um,Surface,Position,1,4,
305.286,203.161,10.0222,um,Surface,Position,1,5,
145.469,298.607,12.4866,um,Surface,Position,1,6,
97.2692,321.765,10.1921,um,Surface,Position,1,7,
258.821,151.472,13.5301,um,Surface,Position,1,8,
161.882,267.939,9.40741,um,Surface,Position,1,9,
118.434,277.671,9.94838,um,Surface,Position,1,10,
256.678,132.333,8.05508,um,Surface,Position,1,11,
205.183,212.531,10.2547,um,Surface,Position,1,12,
194.974,135.236,8.84606,um,Surface,Position,1,13,
298.213,75.1132,11.9177,um,Surface,Position,1,14,
136.488,150.94,11.614,um,Surface,Position,1,15,
188.911,87.6603,12.6275,um,Surface,Position,1,16,
149.553,123.491,8.56827,um,Surface,Position,1,17,
76.0788,157.443,10.3161,um,Surface,Position,1,18,
11.9549,222.798,7.98793,um,Surface,Position,1,19,
19.0799,180.581,9.13413,um,Surface,Position,1,20,
61.2703,242.825,9.23165,um,Surface,Position,1,21,
72.5369,113.72,8.92904,um,Surface,Position,1,22,
19.7338,110.093,7.45906,um,Surface,Position,1,23,
81.6002,50.7187,14.6311,um,Surface,Position,1,24,
134.324,63.1136,11.4078,um,Surface,Position,1,25,
123.134,7.72145,13.0103,um,Surface,Position,1,26,
69.8788,4.90445,10.3898,um,Surface,Position,1,27,
