
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
464.872,um,Surface,Distance from Origin,1,0,
414.758,um,Surface,Distance from Origin,1,1,
439.067,um,Surface,Distance from Origin,1,2,
361.125,um,Surface,Distance from Origin,1,3,
377.436,um,Surface,Distance from Origin,1,4,
366.844,um,Surface,Distance from Origin,1,5,
332.39,um,Surface,Distance from Origin,1,6,
336.301,um,Surface,Distance from Origin,1,7,
300.191,um,Surface,Distance from Origin,1,8,
313.186,um,Surface,Distance from Origin,1,9,
302.038,um,Surface,Distance from Origin,1,10,
288.895,um,Surface,Distance from Origin,1,11,
295.592,um,Surface,Distance from Origin,1,12,
237.449,um,Surface,Distance from Origin,1,13,
307.758,um,Surface,Distance from Origin,1,14,
203.83,um,Surface,Distance from Origin,1,15,
208.641,um,Surface,Distance from Origin,1,16,
194.138,um,Surface,Distance from Origin,1,17,
175.165,um,Surface,Distance from Origin,1,18,
223.261,um,Surface,Distance from Origin,1,19,
181.816,um,Surface,Distance from Origin,1,20,
250.606,um,Surface,Distance from Origin,1,21,
135.18,um,Surface,Distance from Origin,1,22,
112.096,um,Surface,Distance from Origin,1,23,
97.1856,um,Surface,Distance from Origin,1,24,
148.85,um,Surface,Distance from Origin,1,25,
124.06,um,Surface,Distance from Origin,1,26,
70.817,um,Surface,Distance from Origin,1,27,
