
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.250703,,Surface,1,0,
0.856756,,Surface,1,1,
0.683268,,Surface,1,2,
0.658741,,Surface,1,3,
0.668763,,Surface,1,4,
0.465713,,Surface,1,5,
0.363438,,Surface,1,6,
0.285608,,Surface,1,7,
0.328557,,Surface,1,8,
0.4776,,Surface,1,9,
0.368571,,Surface,1,10,
0.301754,,Surface,1,11,
0.457897,,Surface,1,12,
0.34602,,Surface,1,13,
0.796897,,Surface,1,14,
0.774497,,Surface,1,15,
0.678846,,Surface,1,16,
0.50997,,Surface,1,17,
0.5978,,Surface,1,18,
0.742798,,Surface,1,19,
0.319369,,Surface,1,20,
0.407897,,Surface,1,21,
0.494857,,Surface,1,22,
0.649848,,Surface,1,23,
0.561715,,Surface,1,24,
0.793891,,Surface,1,25,
0.34429,,Surface,1,26,
0.463646,,Surface,1,27,
