
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
13.9387,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
62.4831,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
6.14572,um,Surface,Image 1,1,5,
37.8566,um,Surface,Image 1,1,6,
11.7632,um,Surface,Image 1,1,7,
83.1668,um,Surface,Image 1,1,8,
63.4313,um,Surface,Image 1,1,9,
58.1017,um,Surface,Image 1,1,10,
74.693,um,Surface,Image 1,1,11,
82.3276,um,Surface,Image 1,1,12,
114.261,um,Surface,Image 1,1,13,
13.2179,um,Surface,Image 1,1,14,
125.267,um,Surface,Image 1,1,15,
62.6284,um,Surface,Image 1,1,16,
99.4083,um,Surface,Image 1,1,17,
62.3545,um,Surface,Image 1,1,18,
0,um,Surface,Image 1,1,19,
0,um,Surface,Image 1,1,20,
2.31586,um,Surface,Image 1,1,21,
56.9136,um,Surface,Image 1,1,22,
6.61364,um,Surface,Image 1,1,23,
38.2891,um,Surface,Image 1,1,24,
22.5447,um,Surface,Image 1,1,25,
0,um,Surface,Image 1,1,26,
0,um,Surface,Image 1,1,27,
