
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.507197,,Surface,1,0,
0.467551,,Surface,1,1,
0.33334,,Surface,1,2,
0.37714,,Surface,1,3,
0.310152,,Surface,1,4,
0.29256,,Surface,1,5,
0.405892,,Surface,1,6,
0.448382,,Surface,1,7,
0.508421,,Surface,1,8,
0.28956,,Surface,1,9,
0.465884,,Surface,1,10,
0.41394,,Surface,1,11,
0.23455,,Surface,1,12,
0.410393,,Surface,1,13,
0.285599,,Surface,1,14,
0.599054,,Surface,1,15,
0.429635,,Surface,1,16,
0.349218,,Surface,1,17,
0.543023,,Surface,1,18,
0.379485,,Surface,1,19,
0.389046,,Surface,1,20,
0.215928,,Surface,1,21,
0.500388,,Surface,1,22,
0.579913,,Surface,1,23,
0.471337,,Surface,1,24,
0.34047,,Surface,1,25,
0.360297,,Surface,1,26,
0.543942,,Surface,1,27,
