
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
93,,Surface,2,Image 1,1,0,
83,,Surface,2,Image 1,1,1,
60,,Surface,2,Image 1,1,2,
184,,Surface,2,Image 1,1,3,
125,,Surface,2,Image 1,1,4,
114,,Surface,2,Image 1,1,5,
138,,Surface,2,Image 1,1,6,
111,,Surface,2,Image 1,1,7,
172,,Surface,2,Image 1,1,8,
176,,Surface,2,Image 1,1,9,
105,,Surface,2,Image 1,1,10,
179,,Surface,2,Image 1,1,11,
145,,Surface,2,Image 1,1,12,
198,,Surface,2,Image 1,1,13,
149,,Surface,2,Image 1,1,14,
164,,Surface,2,Image 1,1,15,
211,,Surface,2,Image 1,1,16,
88,,Surface,2,Image 1,1,17,
80,,Surface,2,Image 1,1,18,
159,,Surface,2,Image 1,1,19,
