
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2292.16,,Surface,5,Image 1,1,0,
989.757,,Surface,5,Image 1,1,1,
986.714,,Surface,5,Image 1,1,2,
1067.48,,Surface,5,Image 1,1,3,
593.714,,Surface,5,Image 1,1,4,
2226.66,,Surface,5,Image 1,1,5,
1391.6,,Surface,5,Image 1,1,6,
311.755,,Surface,5,Image 1,1,7,
626.017,,Surface,5,Image 1,1,8,
1601.95,,Surface,5,Image 1,1,9,
456.574,,Surface,5,Image 1,1,10,
898.329,,Surface,5,Image 1,1,11,
1034.66,,Surface,5,Image 1,1,12,
1618.9,,Surface,5,Image 1,1,13,
905.358,,Surface,5,Image 1,1,14,
666.6,,Surface,5,Image 1,1,15,
509.201,,Surface,5,Image 1,1,16,
2342.08,,Surface,5,Image 1,1,17,
1435.29,,Surface,5,Image 1,1,18,
743.168,,Surface,5,Image 1,1,19,
