
Area
 ==================== 
Area,Unit,Category,Time,ID,
6876.04,um^2,Surface,1,0,
7750.9,um^2,Surface,1,1,
6854.45,um^2,Surface,1,2,
780.331,um^2,Surface,1,3,
2057.23,um^2,Surface,1,4,
13326.3,um^2,Surface,1,5,
3328.07,um^2,Surface,1,6,
4838.61,um^2,Surface,1,7,
1812.79,um^2,Surface,1,8,
1174.25,um^2,Surface,1,9,
1651.62,um^2,Surface,1,10,
5434.96,um^2,Surface,1,11,
4139.07,um^2,Surface,1,12,
1192.17,um^2,Surface,1,13,
1295.48,um^2,Surface,1,14,
2761.6,um^2,Surface,1,15,
1118.7,um^2,Surface,1,16,
10407.3,um^2,Surface,1,17,
33965.4,um^2,Surface,1,18,
3334.01,um^2,Surface,1,19,
