
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.675396,,Surface,1,0,
0.512601,,Surface,1,1,
0.717725,,Surface,1,2,
0.528478,,Surface,1,3,
0.289518,,Surface,1,4,
0.462056,,Surface,1,5,
0.832195,,Surface,1,6,
0.452589,,Surface,1,7,
0.674992,,Surface,1,8,
0.59376,,Surface,1,9,
0.415477,,Surface,1,10,
0.29895,,Surface,1,11,
0.586458,,Surface,1,12,
0.492517,,Surface,1,13,
0.315969,,Surface,1,14,
0.357858,,Surface,1,15,
0.574866,,Surface,1,16,
0.737579,,Surface,1,17,
0.280504,,Surface,1,18,
0.489383,,Surface,1,19,
