
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
719,,Surface,3,Image 1,1,0,
292,,Surface,3,Image 1,1,1,
463,,Surface,3,Image 1,1,2,
218,,Surface,3,Image 1,1,3,
508,,Surface,3,Image 1,1,4,
288,,Surface,3,Image 1,1,5,
346,,Surface,3,Image 1,1,6,
555,,Surface,3,Image 1,1,7,
505,,Surface,3,Image 1,1,8,
601,,Surface,3,Image 1,1,9,
119,,Surface,3,Image 1,1,10,
124,,Surface,3,Image 1,1,11,
582,,Surface,3,Image 1,1,12,
410,,Surface,3,Image 1,1,13,
139,,Surface,3,Image 1,1,14,
366,,Surface,3,Image 1,1,15,
381,,Surface,3,Image 1,1,16,
355,,Surface,3,Image 1,1,17,
