
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
18.516,,Surface,5,Image 1,1,0,
20.51,,Surface,5,Image 1,1,1,
19.904,,Surface,5,Image 1,1,2,
122.727,,Surface,5,Image 1,1,3,
14.368,,Surface,5,Image 1,1,4,
23.92,,Surface,5,Image 1,1,5,
1144.51,,Surface,5,Image 1,1,6,
0,,Surface,5,Image 1,1,7,
1524.12,,Surface,5,Image 1,1,8,
311.776,,Surface,5,Image 1,1,9,
97.7656,,Surface,5,Image 1,1,10,
118.824,,Surface,5,Image 1,1,11,
12.16,,Surface,5,Image 1,1,12,
0.176025,,Surface,5,Image 1,1,13,
32.448,,Surface,5,Image 1,1,14,
24.448,,Surface,5,Image 1,1,15,
771.2,,Surface,5,Image 1,1,16,
14.16,,Surface,5,Image 1,1,17,
