
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.313108,,Surface,1,0,
0.290268,,Surface,1,1,
0.517633,,Surface,1,2,
0.410289,,Surface,1,3,
0.535865,,Surface,1,4,
0.297663,,Surface,1,5,
0.815442,,Surface,1,6,
0.341076,,Surface,1,7,
0.758299,,Surface,1,8,
0.49036,,Surface,1,9,
0.298416,,Surface,1,10,
0.875488,,Surface,1,11,
0.81297,,Surface,1,12,
0.312561,,Surface,1,13,
0.725349,,Surface,1,14,
0.676221,,Surface,1,15,
0.789147,,Surface,1,16,
0.575996,,Surface,1,17,
