
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
3.66125e+10,,Surface,4,Image 1,1,0,
1.01051e+10,,Surface,4,Image 1,1,1,
7.5085e+08,,Surface,4,Image 1,1,2,
4.3839e+09,,Surface,4,Image 1,1,3,
2.93162e+10,,Surface,4,Image 1,1,4,
9.24846e+08,,Surface,4,Image 1,1,5,
5.87543e+08,,Surface,4,Image 1,1,6,
6.89662e+08,,Surface,4,Image 1,1,7,
1.147e+09,,Surface,4,Image 1,1,8,
9.24265e+09,,Surface,4,Image 1,1,9,
5.08322e+09,,Surface,4,Image 1,1,10,
4.52826e+08,,Surface,4,Image 1,1,11,
1.30649e+10,,Surface,4,Image 1,1,12,
6.06447e+08,,Surface,4,Image 1,1,13,
5.787e+08,,Surface,4,Image 1,1,14,
