
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
161,,Surface,3,Image 1,1,0,
262,,Surface,3,Image 1,1,1,
651,,Surface,3,Image 1,1,2,
1034,,Surface,3,Image 1,1,3,
316,,Surface,3,Image 1,1,4,
955,,Surface,3,Image 1,1,5,
1273,,Surface,3,Image 1,1,6,
1612,,Surface,3,Image 1,1,7,
1453,,Surface,3,Image 1,1,8,
491,,Surface,3,Image 1,1,9,
962,,Surface,3,Image 1,1,10,
1688,,Surface,3,Image 1,1,11,
645,,Surface,3,Image 1,1,12,
1162,,Surface,3,Image 1,1,13,
1151,,Surface,3,Image 1,1,14,
