
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,15.6435,8421.49,253.155,936.679,46.0576,116705,461,um^2,Surface,,,,,1,
Distance from Origin,25.7184,469.782,283.054,98.4264,298.208,130488,461,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,161.705,52.9426,41.9213,45.2355,24406.5,461,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0926053,0.876423,0.377135,0.141121,0.361664,173.859,461,,Surface,,,,,1,
Ellipticity (prolate),0.0347362,0.874894,0.436618,0.176219,0.434214,201.281,461,,Surface,,,,,1,
Intensity Max,3143,65535,21915.4,15676.8,16873,1.0103e+07,461,,Surface,1,,Image 1,,1,
Intensity Max,3070,65535,11680.9,12536,7073,5.38488e+06,461,,Surface,2,,Image 1,,1,
Intensity Max,5680,65535,15363.9,10988.5,11716,7.08278e+06,461,,Surface,3,,Image 1,,1,
Intensity Max,4145,65535,9890.77,9352.25,7369,4.55964e+06,461,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,12934,15854.6,7387,5.96257e+06,461,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,7659.66,10699.9,5684,3.5311e+06,461,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,6345.2,9990.57,4936,2.92514e+06,461,,Surface,7,,Image 1,,1,
Intensity Mean,756.205,35346.4,5261.12,4570.95,3864.93,2.42538e+06,461,,Surface,1,,Image 1,,1,
Intensity Mean,924.99,22577.6,3162.92,2214.09,2614.49,1.45811e+06,461,,Surface,2,,Image 1,,1,
Intensity Mean,2331.1,15551.8,5465.05,1588.14,5108.9,2.51939e+06,461,,Surface,3,,Image 1,,1,
Intensity Mean,2370.77,9720.66,3120.74,894.974,2871.96,1.43866e+06,461,,Surface,4,,Image 1,,1,
Intensity Mean,0,26077.1,1236.49,2542.15,283.871,570024,461,,Surface,5,,Image 1,,1,
Intensity Mean,0,14599,909.677,1707.24,246.25,419361,461,,Surface,6,,Image 1,,1,
Intensity Mean,0,4654.61,675.705,899.866,253.213,311500,461,,Surface,7,,Image 1,,1,
Intensity Median,604.752,36383.2,4556.1,4418.49,3173,2.10036e+06,461,,Surface,1,,Image 1,,1,
Intensity Median,791,18944.8,2883.71,1888.92,2472.06,1.32939e+06,461,,Surface,2,,Image 1,,1,
Intensity Median,2107.32,15230.4,5201.87,1502.32,4882.59,2.39806e+06,461,,Surface,3,,Image 1,,1,
Intensity Median,2334.6,5044.6,2824.77,369.984,2716.88,1.30222e+06,461,,Surface,4,,Image 1,,1,
Intensity Median,0,24978.1,692.301,2431.83,2.4695,319151,461,,Surface,5,,Image 1,,1,
Intensity Median,0,14443.9,530.839,1602.54,1.84,244717,461,,Surface,6,,Image 1,,1,
Intensity Median,0,3019.24,332.204,813.664,1.5835,153146,461,,Surface,7,,Image 1,,1,
Intensity Min,0,15065,473.134,1467.22,0,218115,461,,Surface,1,,Image 1,,1,
Intensity Min,2,5160,541.809,450.856,453,249774,461,,Surface,2,,Image 1,,1,
Intensity Min,49,6549,1936.1,907.829,1869,892543,461,,Surface,3,,Image 1,,1,
Intensity Min,184,1394,721.152,205.049,727,332451,461,,Surface,4,,Image 1,,1,
Intensity Min,0,7897,30.5944,400.704,0,14104,461,,Surface,5,,Image 1,,1,
Intensity Min,0,1739,20.6551,161.144,0,9522,461,,Surface,6,,Image 1,,1,
Intensity Min,0,1227,16.5293,118.925,0,7620,461,,Surface,7,,Image 1,,1,
Intensity StdDev,614.064,15390.3,3203.93,2407.02,2344.63,1.47701e+06,461,,Surface,1,,Image 1,,1,
Intensity StdDev,524.905,13786.7,1513.11,1606.02,983.804,697545,461,,Surface,2,,Image 1,,1,
Intensity StdDev,736.495,5610.88,1740.84,852.657,1457.98,802527,461,,Surface,3,,Image 1,,1,
Intensity StdDev,613.843,12087.2,1357.18,1333.81,996.891,625659,461,,Surface,4,,Image 1,,1,
Intensity StdDev,0,16564.6,1730.91,2269.16,1012.84,797949,461,,Surface,5,,Image 1,,1,
Intensity StdDev,0,14678.3,1144.54,1639.81,865.177,527632,461,,Surface,6,,Image 1,,1,
Intensity StdDev,0,9941.74,958.299,1246.26,809.517,441776,461,,Surface,7,,Image 1,,1,
Intensity Sum,155022,2.56626e+09,5.76888e+07,2.85374e+08,3.40643e+06,2.65945e+10,461,,Surface,1,,Image 1,,1,
Intensity Sum,191473,1.95012e+09,3.57816e+07,1.84307e+08,2.12886e+06,1.64953e+10,461,,Surface,2,,Image 1,,1,
Intensity Sum,682413,3.36048e+09,6.98544e+07,3.51132e+08,3.98046e+06,3.22029e+10,461,,Surface,3,,Image 1,,1,
Intensity Sum,492536,5.48178e+09,7.51476e+07,4.55741e+08,2.09141e+06,3.46431e+10,461,,Surface,4,,Image 1,,1,
Intensity Sum,0,1.1785e+09,2.01086e+07,1.11432e+08,239487,9.27008e+09,461,,Surface,5,,Image 1,,1,
Intensity Sum,0,7.65815e+08,1.13519e+07,6.53929e+07,229685,5.23322e+09,461,,Surface,6,,Image 1,,1,
Intensity Sum,0,1.51471e+09,2.5682e+07,1.55775e+08,217856,1.18394e+10,461,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,461,461,,Surface,,,,,1,
Position X,0.419523,352.64,175.926,105.531,181.875,81101.7,461,um,Surface,,Position,,,1,
Position Y,1.2178,352.844,193.374,100.166,207.675,89145.5,461,um,Surface,,Position,,,1,
Position Z,9.5403,25.0659,16.734,3.7122,16.3795,7714.37,461,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,0,23.7426,4.94557,4.56164,4.10392,2279.91,461,um,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-0.56031,4.74435,0.285647,0.795272,0,131.683,461,um,Surface,,,,Surfaces 3,1,
Shortest Distance to Surfaces,-0.999179,6.48999,1.08241,1.38772,0.488267,498.989,461,um,Surface,,,,Surfaces 1,1,
Sphericity,0.2452,0.972498,0.765239,0.133583,0.770217,352.775,461,,Surface,,,,,1,
Time,0,0,0,0,0,0,461,s,Surface,,,,,1,
Time Index,1,1,1,0,1,461,461,,Surface,,,,,1,
Volume,4.29537,17237.3,357.087,1769.89,20.9087,164617,461,um^3,Surface,,,,,1,
