
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,2.12327,42596.1,169.92,1682.11,12.1684,143752,846,um^2,Surface,,,,,1,
Distance from Origin,13.6541,487.525,289.615,90.015,299.277,245014,846,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,168.644,66.3004,44.9225,61.7914,56090.1,846,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0618574,0.88502,0.38232,0.136959,0.359547,323.442,846,,Surface,,,,,1,
Ellipticity (prolate),0.0117105,0.902702,0.449951,0.168541,0.441249,380.658,846,,Surface,,,,,1,
Intensity Max,2098,65535,12395.1,8995.59,9865,1.04863e+07,846,,Surface,1,,Image 1,,1,
Intensity Max,2789,65535,12579.1,10763.6,9320.5,1.06419e+07,846,,Surface,2,,Image 1,,1,
Intensity Max,4924,65535,13664.2,9523.58,11178,1.15599e+07,846,,Surface,3,,Image 1,,1,
Intensity Max,12993,65535,19293.4,7986.03,16745,1.63223e+07,846,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,5580.14,9299.82,0,4.7208e+06,846,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,6666.37,10315.6,0,5.63975e+06,846,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,1721.81,6199.23,0,1.45666e+06,846,,Surface,7,,Image 1,,1,
Intensity Mean,656.974,28185.2,3899.21,3082.64,3007.99,3.29873e+06,846,,Surface,1,,Image 1,,1,
Intensity Mean,1393.39,43909,5799.71,3992.43,4891.16,4.90656e+06,846,,Surface,2,,Image 1,,1,
Intensity Mean,2070.61,28305.6,6613.9,2094.32,6188.21,5.59536e+06,846,,Surface,3,,Image 1,,1,
Intensity Mean,10514.7,29646.7,12003.2,1641.26,11597.5,1.01547e+07,846,,Surface,4,,Image 1,,1,
Intensity Mean,0,28185.2,779.279,1985.04,0,659270,846,,Surface,5,,Image 1,,1,
Intensity Mean,0,31575.5,1357.3,2840.04,0,1.14828e+06,846,,Surface,6,,Image 1,,1,
Intensity Mean,0,13559.2,217.351,1271.18,0,183879,846,,Surface,7,,Image 1,,1,
Intensity Median,479.96,27282.5,3567.7,3026.31,2715.32,3.01827e+06,846,,Surface,1,,Image 1,,1,
Intensity Median,1163.6,48637.9,5625.48,3935,4717.92,4.75916e+06,846,,Surface,2,,Image 1,,1,
Intensity Median,1939.57,28498.7,6436.18,2054.03,6014.38,5.44501e+06,846,,Surface,3,,Image 1,,1,
Intensity Median,10328.5,24033.5,11747.8,1076.75,11500.9,9.93867e+06,846,,Surface,4,,Image 1,,1,
Intensity Median,0,27282.5,516.572,1958.24,0,437020,846,,Surface,5,,Image 1,,1,
Intensity Median,0,30528.5,952.738,2711.83,0,806016,846,,Surface,6,,Image 1,,1,
Intensity Median,0,13252.4,146.809,1281.34,0,124200,846,,Surface,7,,Image 1,,1,
Intensity Min,0,14830,613.721,1557.59,130,519208,846,,Surface,1,,Image 1,,1,
Intensity Min,7,25462,2350.61,2174.68,1849.5,1.98861e+06,846,,Surface,2,,Image 1,,1,
Intensity Min,161,10007,3346.11,1385.61,3123,2.83081e+06,846,,Surface,3,,Image 1,,1,
Intensity Min,2311,11848,7354.24,1089.48,7434,6.22168e+06,846,,Surface,4,,Image 1,,1,
Intensity Min,0,14110,65.818,683.889,0,55682,846,,Surface,5,,Image 1,,1,
Intensity Min,0,13177,177.662,1040.47,0,150302,846,,Surface,6,,Image 1,,1,
Intensity Min,0,9331,50.7778,659.324,0,42958,846,,Surface,7,,Image 1,,1,
Intensity StdDev,534.094,10771.1,1998.21,1162.21,1682.38,1.69049e+06,846,,Surface,1,,Image 1,,1,
Intensity StdDev,591.356,19619,1715.16,1462.5,1346.53,1.45102e+06,846,,Surface,2,,Image 1,,1,
Intensity StdDev,632.372,12508.7,1596.22,946.614,1365.21,1.3504e+06,846,,Surface,3,,Image 1,,1,
Intensity StdDev,1059.3,18805.2,2160.21,1698.74,1743.75,1.82753e+06,846,,Surface,4,,Image 1,,1,
Intensity StdDev,0,11699,891.239,1473.29,0,753988,846,,Surface,5,,Image 1,,1,
Intensity StdDev,0,25639.8,1334.75,2190.23,0,1.1292e+06,846,,Surface,6,,Image 1,,1,
Intensity StdDev,0,8864.9,270.194,1026.72,0,228584,846,,Surface,7,,Image 1,,1,
Intensity Sum,24965,9.87401e+09,3.2654e+07,4.11179e+08,449840,2.76253e+10,846,,Surface,1,,Image 1,,1,
Intensity Sum,56768,1.29355e+10,3.8415e+07,5.09823e+08,721740,3.24991e+10,846,,Surface,2,,Image 1,,1,
Intensity Sum,117664,1.29198e+10,5.20049e+07,5.87214e+08,889642,4.39961e+10,846,,Surface,3,,Image 1,,1,
Intensity Sum,325246,3.66125e+10,1.49889e+08,1.75014e+09,1.59857e+06,1.26806e+11,846,,Surface,4,,Image 1,,1,
Intensity Sum,0,1.76306e+09,7.36771e+06,8.58615e+07,0,6.23309e+09,846,,Surface,5,,Image 1,,1,
Intensity Sum,0,2.21262e+09,7.61817e+06,9.36797e+07,0,6.44497e+09,846,,Surface,6,,Image 1,,1,
Intensity Sum,0,6.76515e+08,1.09373e+06,2.34743e+07,0,9.25297e+08,846,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,846,846,,Surface,,,,,1,
Position X,1.48494,353.202,194.92,93.4682,199.487,164903,846,um,Surface,,Position,,,1,
Position Y,0.347883,353.122,192.059,91.1005,195.006,162482,846,um,Surface,,Position,,,1,
Position Z,2.5,14.5,7.26513,3.22406,6.25009,6146.3,846,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,-1.54677,18.0666,4.08118,3.68545,3.32493,3452.68,846,,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-0.732205,7.13045,0.861224,1.37434,0,728.595,846,,Surface,,,,Surfaces 3,1,
Shortest Distance to Surfaces,-1.84771,17.124,3.19315,2.50411,2.76218,2701.41,846,um,Surface,,,,Surfaces 1,1,
Sphericity,0.189148,0.966152,0.773973,0.121363,0.80126,654.781,846,,Surface,,,,,1,
Time,0,0,0,0,0,0,846,s,Surface,,,,,1,
Time Index,1,1,1,0,1,846,846,,Surface,,,,,1,
Volume,0.145234,68003.5,238.817,2862.39,2.96799,202039,846,um^3,Surface,,,,,1,
