
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,11.1917,22060.9,248.718,1278.77,33.2636,118390,476,um^2,Surface,,,,,1,
Distance from Origin,25.8562,473.787,291.152,85.6365,301.885,138588,476,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,171.126,66.8092,43.8827,65.1541,31801.2,476,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0610127,0.895833,0.39002,0.149277,0.372996,185.649,476,,Surface,,,,,1,
Ellipticity (prolate),0.0207181,0.905413,0.42594,0.17114,0.416756,202.747,476,,Surface,,,,,1,
Intensity Max,2807,65535,11553.1,12373.5,6361.5,5.49928e+06,476,,Surface,1,,Image 1,,1,
Intensity Max,2348,65535,7083.82,9063.18,4809,3.3719e+06,476,,Surface,2,,Image 1,,1,
Intensity Max,2938,65535,12605.3,9966.39,8999,6.00014e+06,476,,Surface,3,,Image 1,,1,
Intensity Max,8713,65535,14546.8,7463.74,12687,6.92427e+06,476,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,7356.58,11694.4,4740,3.50173e+06,476,,Surface,5,,Image 1,,1,
Intensity Max,0,61566,1323.14,4217.6,0,629817,476,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,580.418,4309.15,0,276279,476,,Surface,7,,Image 1,,1,
Intensity Mean,857.181,19387.8,2310.53,1688.63,1827.48,1.09981e+06,476,,Surface,1,,Image 1,,1,
Intensity Mean,752.168,12099.7,2044.02,1209.14,1764.14,972952,476,,Surface,2,,Image 1,,1,
Intensity Mean,1352.61,15263.8,4093.12,1411.42,3946.43,1.94832e+06,476,,Surface,3,,Image 1,,1,
Intensity Mean,6319.2,16488.2,7287.66,958.91,7042.37,3.46892e+06,476,,Surface,4,,Image 1,,1,
Intensity Mean,0,19387.8,667.842,1467.74,211.827,317893,476,,Surface,5,,Image 1,,1,
Intensity Mean,0,3016.27,65.5877,298.197,0,31219.8,476,,Surface,6,,Image 1,,1,
Intensity Mean,0,9705.29,25.3694,448.771,0,12075.9,476,,Surface,7,,Image 1,,1,
Intensity Median,713.624,20884.5,1994.73,1455.1,1688.39,949493,476,,Surface,1,,Image 1,,1,
Intensity Median,655.48,11531.1,1915.08,1073.69,1695.18,911579,476,,Surface,2,,Image 1,,1,
Intensity Median,1331.75,13213.5,3851.62,1275.32,3680.25,1.83337e+06,476,,Surface,3,,Image 1,,1,
Intensity Median,6248.73,11759.6,7052.86,555.953,6912.14,3.35716e+06,476,,Surface,4,,Image 1,,1,
Intensity Median,0,20884.5,338.587,1241.59,1.412,161168,476,,Surface,5,,Image 1,,1,
Intensity Median,0,3546.27,26.5211,254.345,0,12624.1,476,,Surface,6,,Image 1,,1,
Intensity Median,0,32.256,0.238557,1.8745,0,113.553,476,,Surface,7,,Image 1,,1,
Intensity Min,0,5799,50.7521,323.296,0,24158,476,,Surface,1,,Image 1,,1,
Intensity Min,3,4899,353.181,381.405,273,168114,476,,Surface,2,,Image 1,,1,
Intensity Min,95,5900,1505.85,719.973,1365,716785,476,,Surface,3,,Image 1,,1,
Intensity Min,1381,4779,3404.08,575.691,3475.5,1.62034e+06,476,,Surface,4,,Image 1,,1,
Intensity Min,0,938,4.61134,54.1353,0,2195,476,,Surface,5,,Image 1,,1,
Intensity Min,0,0,0,0,0,0,476,,Surface,6,,Image 1,,1,
Intensity Min,0,0,0,0,0,0,476,,Surface,7,,Image 1,,1,
Intensity StdDev,651.788,13479.4,1572.25,1457.38,1046.35,748390,476,,Surface,1,,Image 1,,1,
Intensity StdDev,411.253,10905,899.774,841.832,707.033,428292,476,,Surface,2,,Image 1,,1,
Intensity StdDev,410.718,6823.61,1384.2,857.583,1058.91,658879,476,,Surface,3,,Image 1,,1,
Intensity StdDev,913.882,16067.4,1717.22,1167.43,1466.03,817398,476,,Surface,4,,Image 1,,1,
Intensity StdDev,0,13479.4,950.577,1478.23,695.289,452474,476,,Surface,5,,Image 1,,1,
Intensity StdDev,0,3911.23,130.925,393.885,0,62320.5,476,,Surface,6,,Image 1,,1,
Intensity StdDev,0,18440.8,60.8466,862.755,0,28963,476,,Surface,7,,Image 1,,1,
Intensity Sum,161150,4.94007e+09,3.06239e+07,2.58946e+08,972516,1.4577e+10,476,,Surface,1,,Image 1,,1,
Intensity Sum,160964,2.54332e+09,1.88965e+07,1.36267e+08,865012,8.99474e+09,476,,Surface,2,,Image 1,,1,
Intensity Sum,327996,6.60488e+09,5.0161e+07,3.7163e+08,1.76905e+06,2.38766e+10,476,,Surface,3,,Image 1,,1,
Intensity Sum,1.00832e+06,1.83462e+10,1.12784e+08,9.76815e+08,3.30154e+06,5.36852e+10,476,,Surface,4,,Image 1,,1,
Intensity Sum,0,1.97046e+09,1.3061e+07,1.14114e+08,119142,6.21701e+09,476,,Surface,5,,Image 1,,1,
Intensity Sum,0,2.0075e+08,1.22778e+06,1.15979e+07,0,5.84423e+08,476,,Surface,6,,Image 1,,1,
Intensity Sum,0,3.58319e+07,120613,1.70124e+06,0,5.74119e+07,476,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,476,476,,Surface,,,,,1,
Position X,2.58868,352.804,204.853,86.9671,208.564,97509.9,476,um,Surface,,Position,,,1,
Position Y,1.42456,352.717,184.364,91.8141,184.663,87757.4,476,um,Surface,,Position,,,1,
Position Z,6.00826,23.3075,11.5869,4.556,9.5118,5515.37,476,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,0,32.4328,7.07504,6.03334,5.87748,3367.72,476,um,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-1.34192,5.7006,0.410275,0.989328,0,195.291,476,um,Surface,,,,Surfaces 3,1,
Shortest Distance to Surfaces,0,10.2753,1.91967,1.87892,1.56912,913.764,476,um,Surface,,,,Surfaces 1,1,
Sphericity,0.248012,0.97645,0.718807,0.141353,0.721315,342.152,476,,Surface,,,,,1,
Time,0,0,0,0,0,0,476,s,Surface,,,,,1,
Time Index,1,1,1,0,1,476,476,,Surface,,,,,1,
Volume,1.5409,45067.7,318.025,2416.72,12.0531,151380,476,um^3,Surface,,,,,1,
