
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,11.4585,75513.2,346.102,3746.42,28.9894,146747,424,um^2,Surface,,,,,1,
Distance from Origin,54.0988,472.435,300.508,79.9913,312.551,127415,424,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,172.353,69.3948,44.8127,68.6938,29423.4,424,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0522912,0.868476,0.379741,0.146637,0.366856,161.01,424,,Surface,,,,,1,
Ellipticity (prolate),0.0138381,0.879592,0.426347,0.167207,0.412334,180.771,424,,Surface,,,,,1,
Intensity Max,3914,65535,14180.2,14136.6,7157.5,6.0124e+06,424,,Surface,1,,Image 1,,1,
Intensity Max,2266,65535,7377.9,8737.04,4990,3.12823e+06,424,,Surface,2,,Image 1,,1,
Intensity Max,3495,65535,12954.8,10587,9093.5,5.49284e+06,424,,Surface,3,,Image 1,,1,
Intensity Max,11572,65535,18238.4,9118.75,15454,7.73308e+06,424,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,7646.6,12752.6,4507,3.24216e+06,424,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,4274.55,7068.57,3425,1.81241e+06,424,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,2900.35,7909.94,0,1.22975e+06,424,,Surface,7,,Image 1,,1,
Intensity Mean,1036.1,20261.4,3348.47,3163.98,2157.43,1.41975e+06,424,,Surface,1,,Image 1,,1,
Intensity Mean,846.657,18886.5,2257.53,1496.59,1899.43,957194,424,,Surface,2,,Image 1,,1,
Intensity Mean,1464.06,15079.8,4278.28,1501.11,4034.47,1.81399e+06,424,,Surface,3,,Image 1,,1,
Intensity Mean,8226.3,26471.5,9546.31,1524.4,9082.67,4.04764e+06,424,,Surface,4,,Image 1,,1,
Intensity Mean,0,12264.6,656.847,1395.53,101.824,278503,424,,Surface,5,,Image 1,,1,
Intensity Mean,0,13152.1,529.531,1112.56,99.4475,224521,424,,Surface,6,,Image 1,,1,
Intensity Mean,0,8605.27,197.345,963.757,0,83674.3,424,,Surface,7,,Image 1,,1,
Intensity Median,886.224,18629.4,2944.33,2884.9,1988.42,1.2484e+06,424,,Surface,1,,Image 1,,1,
Intensity Median,758.306,16556.6,2098.56,1287.71,1804.66,889788,424,,Surface,2,,Image 1,,1,
Intensity Median,1411.52,14355.6,4014.19,1310.6,3857.78,1.70202e+06,424,,Surface,3,,Image 1,,1,
Intensity Median,8265.7,17700.9,9243.85,969.883,8954.62,3.91939e+06,424,,Surface,4,,Image 1,,1,
Intensity Median,0,12099.3,290.305,1098.24,0.712,123089,424,,Surface,5,,Image 1,,1,
Intensity Median,0,10018.3,300.349,1024.29,0.71375,127348,424,,Surface,6,,Image 1,,1,
Intensity Median,0,9274.29,136.06,1046.91,0,57689.4,424,,Surface,7,,Image 1,,1,
Intensity Min,0,7043,209.788,775.889,0,88950,424,,Surface,1,,Image 1,,1,
Intensity Min,0,4245,414.726,376.901,323.5,175844,424,,Surface,2,,Image 1,,1,
Intensity Min,37,6086,1583.07,713.36,1460.5,671223,424,,Surface,3,,Image 1,,1,
Intensity Min,1246,6217,4783.28,784.197,4945,2.02811e+06,424,,Surface,4,,Image 1,,1,
Intensity Min,0,2142,9.14623,120.855,0,3878,424,,Surface,5,,Image 1,,1,
Intensity Min,0,2257,18.2972,162.322,0,7758,424,,Surface,6,,Image 1,,1,
Intensity Min,0,0,0,0,0,0,424,,Surface,7,,Image 1,,1,
Intensity StdDev,787.584,13246.7,2074.36,1905.06,1160.41,879530,424,,Surface,1,,Image 1,,1,
Intensity StdDev,418.383,10599.5,1001.77,1010.3,733.338,424750,424,,Surface,2,,Image 1,,1,
Intensity StdDev,499.834,8040.9,1452.77,947.875,1114.83,615975,424,,Surface,3,,Image 1,,1,
Intensity StdDev,1103.72,20128.5,2155.23,1595.87,1679.42,913818,424,,Surface,4,,Image 1,,1,
