
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,7.79629,18459.5,226.544,1132.21,33.8596,164018,724,um^2,Surface,,,,,1,
Distance from Origin,30.0066,490.278,269.746,96.0631,281.735,195296,724,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,160.671,59.3423,40.5354,55.1845,42963.8,724,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0649949,0.887251,0.409011,0.149297,0.388504,296.124,724,,Surface,,,,,1,
Ellipticity (prolate),0.0534774,0.94917,0.411138,0.168842,0.401198,297.664,724,,Surface,,,,,1,
Intensity Max,2576,65535,14709.7,14790.4,7647.5,1.06498e+07,724,,Surface,1,,Image 1,,1,
Intensity Max,2376,65535,9134.6,11164.3,4865.5,6.61345e+06,724,,Surface,2,,Image 1,,1,
Intensity Max,3073,65535,14084.5,12401.1,9395.5,1.01972e+07,724,,Surface,3,,Image 1,,1,
Intensity Max,10423,65535,18466.4,8586.85,16137,1.33697e+07,724,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,10517.8,13621.5,5565.5,7.61491e+06,724,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,6472.42,8916.23,4224.5,4.68603e+06,724,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,1769.72,6668.29,0,1.28128e+06,724,,Surface,7,,Image 1,,1,
Intensity Mean,616.626,36020.5,2961.15,3420.86,1911.74,2.14387e+06,724,,Surface,1,,Image 1,,1,
Intensity Mean,1004.99,27794.5,2410.45,2426.95,1796.81,1.74517e+06,724,,Surface,2,,Image 1,,1,
Intensity Mean,1738.26,31999.8,3810.16,2040.13,3315.42,2.75856e+06,724,,Surface,3,,Image 1,,1,
Intensity Mean,7398.07,20197,8901.38,1280.19,8645.01,6.4446e+06,724,,Surface,4,,Image 1,,1,
Intensity Mean,0,32055.7,1205.62,2678.4,518.115,872868,724,,Surface,5,,Image 1,,1,
Intensity Mean,0,25238.4,891.842,1536.47,523.983,645694,724,,Surface,6,,Image 1,,1,
Intensity Mean,0,7991.85,122.498,739.934,0,88688.4,724,,Surface,7,,Image 1,,1,
Intensity Median,475,33586.9,2477.78,3170.06,1668.32,1.79391e+06,724,,Surface,1,,Image 1,,1,
Intensity Median,905.68,23960,2187.27,2105.66,1700.36,1.58358e+06,724,,Surface,2,,Image 1,,1,
Intensity Median,1643.82,31424.6,3480.56,1887.9,3060.79,2.51992e+06,724,,Surface,3,,Image 1,,1,
Intensity Median,7357.26,13577.1,8517.63,639.48,8408.39,6.16676e+06,724,,Surface,4,,Image 1,,1,
Intensity Median,0,32494.7,691.5,2470.45,2.01275,500646,724,,Surface,5,,Image 1,,1,
Intensity Median,0,23645.3,597.813,1493.16,1.549,432817,724,,Surface,6,,Image 1,,1,
Intensity Median,0,7921.88,63.6434,646.622,0,46077.8,724,,Surface,7,,Image 1,,1,
Intensity Min,0,19176,143.572,938.177,0,103946,724,,Surface,1,,Image 1,,1,
Intensity Min,4,11972,407.639,698.919,288.5,295131,724,,Surface,2,,Image 1,,1,
Intensity Min,121,13831,1248.16,911.879,1118.5,903667,724,,Surface,3,,Image 1,,1,
Intensity Min,2080,6211,4089.63,700.453,4086.5,2.9609e+06,724,,Surface,4,,Image 1,,1,
Intensity Min,0,7530,45.4889,480.456,0,32934,724,,Surface,5,,Image 1,,1,
Intensity Min,0,11972,50.9323,489.676,0,36875,724,,Surface,6,,Image 1,,1,
Intensity Min,0,4810,6.64365,178.639,0,4810,724,,Surface,7,,Image 1,,1,
Intensity StdDev,545.967,20625.7,2125,2220.76,1165.15,1.5385e+06,724,,Surface,1,,Image 1,,1,
Intensity StdDev,457.171,16406.2,1189.84,1541.11,714.979,861446,724,,Surface,2,,Image 1,,1,
Intensity StdDev,492.96,8000.37,1545.51,1133.3,1143.07,1.11895e+06,724,,Surface,3,,Image 1,,1,
Intensity StdDev,1039.04,16202.3,2306.23,1633.58,1957.38,1.66971e+06,724,,Surface,4,,Image 1,,1,
Intensity StdDev,0,20625.7,1471.64,2036.3,955.066,1.06547e+06,724,,Surface,5,,Image 1,,1,
Intensity StdDev,0,9053.34,935.935,997.135,828.352,677617,724,,Surface,6,,Image 1,,1,
Intensity StdDev,0,10035.5,196.637,824.07,0,142365,724,,Surface,7,,Image 1,,1,
Intensity Sum,83624,5.95728e+09,3.55309e+07,3.12057e+08,1.20443e+06,2.57243e+10,724,,Surface,1,,Image 1,,1,
Intensity Sum,118728,3.0165e+09,2.02492e+07,1.53013e+08,1.05156e+06,1.46604e+10,724,,Surface,2,,Image 1,,1,
Intensity Sum,214850,8.24139e+09,4.90243e+07,4.06376e+08,1.75823e+06,3.54936e+10,724,,Surface,3,,Image 1,,1,
Intensity Sum,811654,3.06357e+10,1.56793e+08,1.44413e+09,4.18427e+06,1.13518e+11,724,,Surface,4,,Image 1,,1,
Intensity Sum,0,4.46962e+09,2.37366e+07,2.33498e+08,303780,1.71853e+10,724,,Surface,5,,Image 1,,1,
Intensity Sum,0,2.12498e+09,1.16682e+07,1.03592e+08,301832,8.44776e+09,724,,Surface,6,,Image 1,,1,
Intensity Sum,0,1.19328e+08,747441,6.35822e+06,0,5.41147e+08,724,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,724,724,,Surface,,,,,1,
Position X,0.481383,353.212,178.915,101.686,179.716,129534,724,um,Surface,,Position,,,1,
Position Y,1.07076,352.965,175.667,92.6518,167.216,127183,724,um,Surface,,Position,,,1,
Position Z,7.87624,20.6632,13.5383,3.74045,13.1139,9801.7,724,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,-1.01667,19.1477,4.01638,3.78003,3.18055,2907.86,724,um,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-2.10207,2.48745,0.06908,0.363471,0,50.0139,724,um,Surface,,,,Surfaces 3,1,
Shortest Distance to Surfaces,-1.21849,8.26742,1.12124,1.61577,0.378029,811.778,724,um,Surface,,,,Surfaces 1,1,
Sphericity,0.265879,0.961215,0.731084,0.126493,0.741709,529.305,724,,Surface,,,,,1,
Time,0,0,0,0,0,0,724,s,Surface,,,,,1,
Time Index,1,1,1,0,1,724,724,,Surface,,,,,1,
Volume,1.15465,45567.3,301.492,2307.56,12.6462,218280,724,um^3,Surface,,,,,1,
