
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,8.25793,13218.1,277.29,1402.56,30.9355,104538,377,um^2,Surface,,,,,1,
Distance from Origin,41.1294,492.437,262.508,97.1387,278.649,98965.6,377,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,162.362,57.8993,43.1678,56.1246,21828,377,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0750508,0.868951,0.403919,0.145352,0.403216,152.278,377,,Surface,,,,,1,
Ellipticity (prolate),0.0811454,0.881748,0.416579,0.165144,0.399888,157.05,377,,Surface,,,,,1,
Intensity Max,3067,62356,10051.3,8924.12,6770,3.78935e+06,377,,Surface,1,,Image 1,,1,
Intensity Max,1760,39164,3847.53,2891,3210,1.45052e+06,377,,Surface,2,,Image 1,,1,
Intensity Max,2191,53840,9423.3,8034.06,6569,3.55259e+06,377,,Surface,3,,Image 1,,1,
Intensity Max,7849,65535,14704.1,9736.98,11899,5.54343e+06,377,,Surface,4,,Image 1,,1,
Intensity Max,0,52959,6583.62,9528.06,4545,2.48202e+06,377,,Surface,5,,Image 1,,1,
Intensity Max,0,27306,2400.36,2882.32,2421,904936,377,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,9302.82,11723.5,8787,3.50716e+06,377,,Surface,7,,Image 1,,1,
Intensity Mean,934.651,16795.3,2454.58,1819.43,1856.67,925379,377,,Surface,1,,Image 1,,1,
Intensity Mean,758.731,3263.9,1183.49,298.654,1117.27,446177,377,,Surface,2,,Image 1,,1,
Intensity Mean,1205.74,23645.2,2658.99,2266.98,2054.47,1.00244e+06,377,,Surface,3,,Image 1,,1,
Intensity Mean,5218.25,16776.4,6365.95,1453.83,6059.9,2.39996e+06,377,,Surface,4,,Image 1,,1,
Intensity Mean,0,16050.1,862.297,1874.75,159.943,325086,377,,Surface,5,,Image 1,,1,
Intensity Mean,0,3092.59,307.735,440.603,96.9749,116016,377,,Surface,6,,Image 1,,1,
Intensity Mean,0,13143.4,1686.1,2398.69,516.666,635661,377,,Surface,7,,Image 1,,1,
Intensity Median,776,16000.6,2202.67,1721.24,1676.82,830406,377,,Surface,1,,Image 1,,1,
Intensity Median,678.022,3111.7,1103.09,267.993,1047.54,415865,377,,Surface,2,,Image 1,,1,
Intensity Median,1140.87,22917.7,2391.32,2177.11,1850.69,901527,377,,Surface,3,,Image 1,,1,
Intensity Median,5068.09,9347.95,5968.23,601.151,5840.36,2.25002e+06,377,,Surface,4,,Image 1,,1,
Intensity Median,0,16000.6,545.91,1794.31,1.384,205808,377,,Surface,5,,Image 1,,1,
Intensity Median,0,2972.31,189.626,432.579,0.7125,71488.9,377,,Surface,6,,Image 1,,1,
Intensity Median,0,7337.7,1039.53,2136,2.8665,391901,377,,Surface,7,,Image 1,,1,
Intensity Min,0,6036,130.066,515.799,0,49035,377,,Surface,1,,Image 1,,1,
Intensity Min,1,933,185.371,105.598,165,69885,377,,Surface,2,,Image 1,,1,
Intensity Min,101,11095,710.607,1049.31,545,267899,377,,Surface,3,,Image 1,,1,
Intensity Min,620,3863,2300.2,558.185,2285,867174,377,,Surface,4,,Image 1,,1,
Intensity Min,0,6036,43.9655,397.074,0,16575,377,,Surface,5,,Image 1,,1,
Intensity Min,0,933,15.634,82.9175,0,5894,377,,Surface,6,,Image 1,,1,
Intensity Min,0,3512,113.483,538.213,0,42783,377,,Surface,7,,Image 1,,1,
Intensity StdDev,665.995,7704.23,1475.7,952.395,1080.41,556337,377,,Surface,1,,Image 1,,1,
Intensity StdDev,355.391,2226.62,541.32,195.561,495.951,204078,377,,Surface,2,,Image 1,,1,
Intensity StdDev,362.828,7579.94,1228.57,1021.51,822.692,463172,377,,Surface,3,,Image 1,,1,
Intensity StdDev,969.034,16843.5,2125.95,2047.19,1653.35,801483,377,,Surface,4,,Image 1,,1,
Intensity StdDev,0,10235.3,949.785,1284.74,616.769,358069,377,,Surface,5,,Image 1,,1,
Intensity StdDev,0,1986.86,354.034,329.008,341.595,133471,377,,Surface,6,,Image 1,,1,
Intensity StdDev,0,18547.9,1894.05,2634.47,1529.62,714055,377,,Surface,7,,Image 1,,1,
Intensity Sum,110592,3.11702e+09,4.46213e+07,2.9595e+08,906292,1.68222e+10,377,,Surface,1,,Image 1,,1,
Intensity Sum,82304,1.12274e+09,1.67486e+07,1.06141e+08,519931,6.31422e+09,377,,Surface,2,,Image 1,,1,
Intensity Sum,129204,3.49442e+09,5.48598e+07,3.54664e+08,1.04679e+06,2.06822e+10,377,,Surface,3,,Image 1,,1,
Intensity Sum,543568,1.54772e+10,2.04649e+08,1.40524e+09,2.57846e+06,7.71525e+10,377,,Surface,4,,Image 1,,1,
Intensity Sum,0,2.25841e+09,2.9455e+07,2.05966e+08,77718,1.11045e+10,377,,Surface,5,,Image 1,,1,
Intensity Sum,0,6.53821e+08,9.05119e+06,6.21838e+07,51988,3.4123e+09,377,,Surface,6,,Image 1,,1,
Intensity Sum,0,1.12221e+10,1.45777e+08,1.04655e+09,242344,5.49579e+10,377,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,377,377,,Surface,,,,,1,
Position X,0.764089,352.69,171.892,98.3465,175.627,64803.4,377,um,Surface,,Position,,,1,
Position Y,0.490671,351.965,166.717,100.411,172.854,62852.2,377,um,Surface,,Position,,,1,
Position Z,26.2621,43.68,35.024,4.89337,34.7069,13204,377,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,0,40.4797,9.94552,8.15956,8.23086,3749.46,377,um,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-1.75341,6.22533,0.461333,1.05257,0,173.923,377,um,Surface,,,,Surfaces 3,1,
Shortest Distance to Surfaces,-1.01934,7.9274,1.38584,1.76853,0.621989,522.462,377,um,Surface,,,,Surfaces 1,1,
Sphericity,0.322004,0.964046,0.763133,0.128175,0.783127,287.701,377,,Surface,,,,,1,
Time,0,0,0,0,0,0,377,s,Surface,,,,,1,
Time Index,1,1,1,0,1,377,377,,Surface,,,,,1,
Volume,1.76221,27751.6,440.999,2759.53,11.311,166257,377,um^3,Surface,,,,,1,
