
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,1.80627,18032,129.875,821.435,12.5004,105199,810,um^2,Surface,,,,,1,
Distance from Origin,16.1198,497.948,273.001,101.067,279.772,221131,810,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,167.384,66.1882,44.5903,64.0246,53612.4,810,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0737577,0.86838,0.393999,0.143759,0.363786,319.139,810,,Surface,,,,,1,
Ellipticity (prolate),0.0469564,0.863549,0.43017,0.170768,0.432797,348.438,810,,Surface,,,,,1,
Intensity Max,2824,58724,12446.6,9004.64,9695,1.00818e+07,810,,Surface,1,,Image 1,,1,
Intensity Max,3228,65535,11111.7,9417.65,8306,9.00044e+06,810,,Surface,2,,Image 1,,1,
Intensity Max,4646,65535,13928.5,9368.39,11380.5,1.12821e+07,810,,Surface,3,,Image 1,,1,
Intensity Max,15510,65535,22939.5,8105.88,20671.5,1.8581e+07,810,,Surface,4,,Image 1,,1,
Intensity Max,0,42307,1266.41,5027.9,0,1.02579e+06,810,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,4146.1,7773.07,0,3.35834e+06,810,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,859.806,4950.71,0,696443,810,,Surface,7,,Image 1,,1,
Intensity Mean,1141.58,30697.2,4162.11,3560.53,3172.6,3.37131e+06,810,,Surface,1,,Image 1,,1,
Intensity Mean,1352.03,32498.6,4927,2868.42,4161.87,3.99087e+06,810,,Surface,2,,Image 1,,1,
Intensity Mean,2442.48,25847.5,6624.32,2017.7,6252.92,5.3657e+06,810,,Surface,3,,Image 1,,1,
Intensity Mean,12543.8,29182.7,14610.5,1779.4,14211.2,1.18345e+07,810,,Surface,4,,Image 1,,1,
Intensity Mean,0,14538.3,157.481,1104.59,0,127560,810,,Surface,5,,Image 1,,1,
Intensity Mean,0,14651.7,634.182,1701.97,0,513688,810,,Surface,6,,Image 1,,1,
Intensity Mean,0,14257,76.0762,794.982,0,61621.7,810,,Surface,7,,Image 1,,1,
Intensity Median,979.984,30085.2,3852.6,3489.65,2830.08,3.12061e+06,810,,Surface,1,,Image 1,,1,
Intensity Median,1175.37,32290.3,4746.65,2742.47,4077.66,3.84479e+06,810,,Surface,2,,Image 1,,1,
Intensity Median,2517.13,24060.8,6402.92,1912.52,6006.26,5.18637e+06,810,,Surface,3,,Image 1,,1,
Intensity Median,12412.8,23299.5,14323.5,1243.15,14047,1.16021e+07,810,,Surface,4,,Image 1,,1,
Intensity Median,0,14632.1,91.8283,996.393,0,74380.9,810,,Surface,5,,Image 1,,1,
Intensity Median,0,13774.8,401.808,1685.57,0,325464,810,,Surface,6,,Image 1,,1,
Intensity Median,0,14910,36.0784,720.608,0,29223.5,810,,Surface,7,,Image 1,,1,
Intensity Min,0,18658,778.71,2012.65,138,630755,810,,Surface,1,,Image 1,,1,
Intensity Min,61,16497,1900.78,1701.72,1486,1.53964e+06,810,,Surface,2,,Image 1,,1,
Intensity Min,448,12145,3338.72,1409.4,3101,2.70437e+06,810,,Surface,3,,Image 1,,1,
Intensity Min,2944,13128,9174.28,1337.83,9256.5,7.43116e+06,810,,Surface,4,,Image 1,,1,
Intensity Min,0,7568,20.6296,352.806,0,16710,810,,Surface,5,,Image 1,,1,
Intensity Min,0,7816,68.4593,560.492,0,55452,810,,Surface,6,,Image 1,,1,
Intensity Min,0,9443,11.658,331.588,0,9443,810,,Surface,7,,Image 1,,1,
Intensity StdDev,628.379,9466.28,1990.58,1153.03,1657.38,1.61237e+06,810,,Surface,1,,Image 1,,1,
Intensity StdDev,555.016,13377.2,1510.08,1114.49,1189.75,1.22317e+06,810,,Surface,2,,Image 1,,1,
Intensity StdDev,635.329,9114.91,1637.7,887.727,1384.44,1.32654e+06,810,,Surface,3,,Image 1,,1,
Intensity StdDev,1206.72,16574.3,2487.65,1696.52,2102.1,2.015e+06,810,,Surface,4,,Image 1,,1,
Intensity StdDev,0,12440.4,183.293,952.061,0,148467,810,,Surface,5,,Image 1,,1,
Intensity StdDev,0,10624.6,713.466,1286.77,0,577907,810,,Surface,6,,Image 1,,1,
Intensity StdDev,0,10807.3,109.859,793.411,0,88985.9,810,,Surface,7,,Image 1,,1,
Intensity Sum,40285,2.60366e+09,1.81447e+07,1.40891e+08,540321,1.46972e+10,810,,Surface,1,,Image 1,,1,
Intensity Sum,64252,3.15544e+09,1.96755e+07,1.5254e+08,686332,1.59372e+10,810,,Surface,2,,Image 1,,1,
Intensity Sum,118689,4.39081e+09,3.70191e+07,2.82082e+08,937668,2.99854e+10,810,,Surface,3,,Image 1,,1,
Intensity Sum,388857,1.48881e+10,1.12595e+08,9.2972e+08,2.02063e+06,9.12018e+10,810,,Surface,4,,Image 1,,1,
Intensity Sum,0,5.32132e+07,221258,2.34043e+06,0,1.79219e+08,810,,Surface,5,,Image 1,,1,
Intensity Sum,0,4.11331e+08,3.28218e+06,2.48224e+07,0,2.65857e+09,810,,Surface,6,,Image 1,,1,
Intensity Sum,0,7.77806e+07,173194,2.8373e+06,0,1.40287e+08,810,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,810,810,,Surface,,,,,1,
Position X,0.572609,352.908,176.15,94.2776,175.722,142681,810,um,Surface,,Position,,,1,
Position Y,0.368168,353.271,187.331,98.1642,184.719,151738,810,um,Surface,,Position,,,1,
Position Z,3.5,16.9186,9.32963,3.28316,8.5,7557,810,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,-1.00083,31.7811,5.40942,4.62914,4.69762,4381.63,810,,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-0.398866,8.82532,1.43153,1.84857,0.647184,1159.54,810,,Surface,,,,Surfaces 3,1,
