
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,31.1345,103791,955.251,7683.91,96.3902,177677,186,um^2,Surface,,,,,1,
Distance from Origin,21.5151,480.217,259.813,100.483,278.361,48325.2,186,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,152.565,46.3294,35.4445,41.985,8617.27,186,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.126816,0.854236,0.416025,0.141373,0.393079,77.3806,186,,Surface,,,,,1,
Ellipticity (prolate),0.022577,0.835312,0.389645,0.168619,0.355931,72.4739,186,,Surface,,,,,1,
Intensity Max,3558,65535,10826.7,10212.9,7000.5,2.01376e+06,186,,Surface,1,,Image 1,,1,
Intensity Max,1946,65535,6590.48,8538.79,3940.5,1.22583e+06,186,,Surface,2,,Image 1,,1,
Intensity Max,1833,65535,10876.5,11884.4,6797.5,2.02304e+06,186,,Surface,3,,Image 1,,1,
Intensity Max,5593,65535,11466.7,9033.21,9073.5,2.1328e+06,186,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,7416.59,10556.7,4306,1.37948e+06,186,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,4746.16,8218.18,3342,882785,186,,Surface,6,,Image 1,,1,
Intensity Max,0,59476,1473.81,7048.28,0,274129,186,,Surface,7,,Image 1,,1,
Intensity Mean,676.153,11563.8,1722.23,1359.76,1268.32,320334,186,,Surface,1,,Image 1,,1,
Intensity Mean,532.704,6007.26,1283.57,614.971,1142.3,238744,186,,Surface,2,,Image 1,,1,
Intensity Mean,699.002,6868.64,2129.37,921.328,1851.27,396062,186,,Surface,3,,Image 1,,1,
Intensity Mean,3249.34,10053.3,3971.32,790.38,3736.26,738666,186,,Surface,4,,Image 1,,1,
Intensity Mean,0,11563.8,525.736,1304.11,148.283,97786.9,186,,Surface,5,,Image 1,,1,
Intensity Mean,0,2301.82,336.822,436.779,131.818,62648.8,186,,Surface,6,,Image 1,,1,
Intensity Mean,0,1264.59,17.562,103.19,0,3266.53,186,,Surface,7,,Image 1,,1,
Intensity Median,537.152,11284.5,1422.22,1215.1,1096.68,264532,186,,Surface,1,,Image 1,,1,
Intensity Median,461.88,5720.13,1165.45,551.972,1063.12,216774,186,,Surface,2,,Image 1,,1,
Intensity Median,650.712,6242.38,1901.22,748.044,1692.12,353627,186,,Surface,3,,Image 1,,1,
Intensity Median,3194.72,6477.25,3731.17,428.223,3599.84,693997,186,,Surface,4,,Image 1,,1,
Intensity Median,0,11284.5,259.031,1175.43,1.3875,48179.8,186,,Surface,5,,Image 1,,1,
Intensity Median,0,1748.68,169.847,402.094,1.05895,31591.5,186,,Surface,6,,Image 1,,1,
Intensity Median,0,49.25,0.724076,4.51346,0,134.678,186,,Surface,7,,Image 1,,1,
Intensity Min,0,534,6.99462,54.7731,0,1301,186,,Surface,1,,Image 1,,1,
Intensity Min,0,919,113.661,91.2337,98.5,21141,186,,Surface,2,,Image 1,,1,
Intensity Min,32,1782,397.011,216.058,364.5,73844,186,,Surface,3,,Image 1,,1,
Intensity Min,499,1621,1101.96,240.811,1131,204964,186,,Surface,4,,Image 1,,1,
Intensity Min,0,534,3.03763,39.1029,0,565,186,,Surface,5,,Image 1,,1,
