
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,3.27209,7727.69,144.93,723.76,16.2832,76813.1,530,um^2,Surface,,,,,1,
Distance from Origin,31.2122,497.937,285.857,101.331,299.665,151504,530,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,166.813,52.2376,40.7941,44.2228,27685.9,530,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0900211,0.891936,0.388247,0.140695,0.368495,205.771,530,,Surface,,,,,1,
Ellipticity (prolate),0.045313,0.919697,0.433271,0.174711,0.427861,229.634,530,,Surface,,,,,1,
Intensity Max,1357,65535,14043.4,14101.4,7757.5,7.44301e+06,530,,Surface,1,,Image 1,,1,
Intensity Max,1120,65535,7934.94,9270.27,5574,4.20552e+06,530,,Surface,2,,Image 1,,1,
Intensity Max,4307,65535,12430.9,10408.4,9476,6.5884e+06,530,,Surface,3,,Image 1,,1,
Intensity Max,9124,65535,16354.8,9137.43,14033,8.66807e+06,530,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,8087.57,14172.3,3344.5,4.28641e+06,530,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,4571.19,8746.25,3145.5,2.42273e+06,530,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,8669.06,11849.9,8862.5,4.5946e+06,530,,Surface,7,,Image 1,,1,
Intensity Mean,343.481,34102.2,4072.5,4489.44,2626.09,2.15843e+06,530,,Surface,1,,Image 1,,1,
Intensity Mean,705.453,31983.2,2731.01,1976.58,2409.36,1.44744e+06,530,,Surface,2,,Image 1,,1,
Intensity Mean,2003.04,14079,5156.28,1538.84,4824.81,2.73283e+06,530,,Surface,3,,Image 1,,1,
Intensity Mean,6816.54,21397.7,8500.82,1621.87,8076.44,4.50543e+06,530,,Surface,4,,Image 1,,1,
Intensity Mean,0,34102.2,1085.57,3049.93,67.1162,575354,530,,Surface,5,,Image 1,,1,
Intensity Mean,0,11799.5,626.333,1182.71,61.1312,331957,530,,Surface,6,,Image 1,,1,
Intensity Mean,0,13425.8,1675.26,2585.51,165.634,887887,530,,Surface,7,,Image 1,,1,
Intensity Median,231.848,33987.4,3642.67,4336.26,2341.94,1.93062e+06,530,,Surface,1,,Image 1,,1,
Intensity Median,713.628,31001.4,2541.92,1790.12,2306.43,1.34722e+06,530,,Surface,2,,Image 1,,1,
Intensity Median,1824.6,12162.9,4914.8,1358.21,4656.01,2.60484e+06,530,,Surface,3,,Image 1,,1,
Intensity Median,6671.79,12893.5,8141.99,940.604,7873.9,4.31525e+06,530,,Surface,4,,Image 1,,1,
Intensity Median,0,33987.4,657.588,2897.68,0,348522,530,,Surface,5,,Image 1,,1,
Intensity Median,0,11361,388.56,1058.87,0.377375,205937,530,,Surface,6,,Image 1,,1,
Intensity Median,0,9782.19,1099.62,2583.79,1.63285,582801,530,,Surface,7,,Image 1,,1,
Intensity Min,0,20025,567.525,1957.97,53.5,300788,530,,Surface,1,,Image 1,,1,
Intensity Min,4,6806,654.915,588.355,564,347105,530,,Surface,2,,Image 1,,1,
Intensity Min,121,6949,2184.9,910.332,2107.5,1.158e+06,530,,Surface,3,,Image 1,,1,
Intensity Min,1392,6701,3994.68,847.524,4032,2.11718e+06,530,,Surface,4,,Image 1,,1,
Intensity Min,0,20025,80.0774,1139.56,0,42441,530,,Surface,5,,Image 1,,1,
Intensity Min,0,6806,42.0453,363.875,0,22284,530,,Surface,6,,Image 1,,1,
Intensity Min,0,5070,101.281,668.073,0,53679,530,,Surface,7,,Image 1,,1,
Intensity StdDev,329.311,14264.6,2270.99,2158.66,1328.34,1.20362e+06,530,,Surface,1,,Image 1,,1,
Intensity StdDev,245.576,15986.1,1182,1352.2,872.014,626462,530,,Surface,2,,Image 1,,1,
