
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
330.249,um,Surface,Distance from Origin,1,0,
428.982,um,Surface,Distance from Origin,1,1,
412.12,um,Surface,Distance from Origin,1,2,
360.099,um,Surface,Distance from Origin,1,3,
301.276,um,Surface,Distance from Origin,1,4,
329.468,um,Surface,Distance from Origin,1,5,
338.216,um,Surface,Distance from Origin,1,6,
252.083,um,Surface,Distance from Origin,1,7,
264.655,um,Surface,Distance from Origin,1,8,
255.807,um,Surface,Distance from Origin,1,9,
209.333,um,Surface,Distance from Origin,1,10,
206.282,um,Surface,Distance from Origin,1,11,
220.871,um,Surface,Distance from Origin,1,12,
211.578,um,Surface,Distance from Origin,1,13,
225.611,um,Surface,Distance from Origin,1,14,
167.576,um,Surface,Distance from Origin,1,15,
154.743,um,Surface,Distance from Origin,1,16,
140.161,um,Surface,Distance from Origin,1,17,
97.0059,um,Surface,Distance from Origin,1,18,
