
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.557555,,Surface,1,0,
0.314988,,Surface,1,1,
0.817945,,Surface,1,2,
0.378371,,Surface,1,3,
0.314472,,Surface,1,4,
0.469829,,Surface,1,5,
0.729729,,Surface,1,6,
0.552244,,Surface,1,7,
0.538345,,Surface,1,8,
0.12615,,Surface,1,9,
0.589287,,Surface,1,10,
0.430917,,Surface,1,11,
0.750082,,Surface,1,12,
0.448133,,Surface,1,13,
0.789985,,Surface,1,14,
0.566555,,Surface,1,15,
0.869668,,Surface,1,16,
0.597308,,Surface,1,17,
0.455139,,Surface,1,18,
