
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
61708.5,um^3,Surface,1,0,
1899.96,um^3,Surface,1,1,
10010.2,um^3,Surface,1,2,
3376.98,um^3,Surface,1,3,
1484.16,um^3,Surface,1,4,
3764.7,um^3,Surface,1,5,
4948.01,um^3,Surface,1,6,
1583.79,um^3,Surface,1,7,
2090.63,um^3,Surface,1,8,
2218.71,um^3,Surface,1,9,
1027.88,um^3,Surface,1,10,
2414.02,um^3,Surface,1,11,
2685.76,um^3,Surface,1,12,
4696.15,um^3,Surface,1,13,
35237.3,um^3,Surface,1,14,
3018.24,um^3,Surface,1,15,
17882.1,um^3,Surface,1,16,
1071.01,um^3,Surface,1,17,
2328.93,um^3,Surface,1,18,
