
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.22699,,Surface,1,0,
0.636707,,Surface,1,1,
0.559015,,Surface,1,2,
0.431284,,Surface,1,3,
0.415406,,Surface,1,4,
0.421035,,Surface,1,5,
0.504715,,Surface,1,6,
0.610313,,Surface,1,7,
0.42407,,Surface,1,8,
0.344705,,Surface,1,9,
0.360326,,Surface,1,10,
0.373773,,Surface,1,11,
0.658225,,Surface,1,12,
0.52751,,Surface,1,13,
0.35185,,Surface,1,14,
0.424518,,Surface,1,15,
0.506551,,Surface,1,16,
0.436846,,Surface,1,17,
0.347014,,Surface,1,18,
