
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
7,,Surface,3,Image 1,1,0,
250,,Surface,3,Image 1,1,1,
154,,Surface,3,Image 1,1,2,
310,,Surface,3,Image 1,1,3,
767,,Surface,3,Image 1,1,4,
622,,Surface,3,Image 1,1,5,
487,,Surface,3,Image 1,1,6,
753,,Surface,3,Image 1,1,7,
545,,Surface,3,Image 1,1,8,
695,,Surface,3,Image 1,1,9,
1057,,Surface,3,Image 1,1,10,
410,,Surface,3,Image 1,1,11,
672,,Surface,3,Image 1,1,12,
444,,Surface,3,Image 1,1,13,
336,,Surface,3,Image 1,1,14,
678,,Surface,3,Image 1,1,15,
398,,Surface,3,Image 1,1,16,
782,,Surface,3,Image 1,1,17,
635,,Surface,3,Image 1,1,18,
