
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
5.50378e+07,,Surface,5,Image 1,1,0,
1.53727e+08,,Surface,5,Image 1,1,1,
2.36171e+08,,Surface,5,Image 1,1,2,
7.75347e+07,,Surface,5,Image 1,1,3,
5.24301e+08,,Surface,5,Image 1,1,4,
8.56226e+08,,Surface,5,Image 1,1,5,
1.12078e+08,,Surface,5,Image 1,1,6,
6.50405e+08,,Surface,5,Image 1,1,7,
6.94923e+07,,Surface,5,Image 1,1,8,
1.1785e+09,,Surface,5,Image 1,1,9,
4.48087e+08,,Surface,5,Image 1,1,10,
8.67062e+08,,Surface,5,Image 1,1,11,
9.85161e+08,,Surface,5,Image 1,1,12,
2.21312e+08,,Surface,5,Image 1,1,13,
5.38131e+08,,Surface,5,Image 1,1,14,
3.7965e+07,,Surface,5,Image 1,1,15,
1.09737e+08,,Surface,5,Image 1,1,16,
7.24335e+08,,Surface,5,Image 1,1,17,
3.89061e+08,,Surface,5,Image 1,1,18,
7.13311e+07,,Surface,5,Image 1,1,19,
